                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5206,                0.50833,                 0.9875,                 1.5908,               0.003321,               0.003321,               0.003321
                      2,                 1.3063,                0.48472,                0.97917,                 1.5875,              0.0066214,              0.0066214,              0.0066214
                      3,                 1.3223,                0.50417,                0.99306,                 1.5914,              0.0098888,              0.0098888,              0.0098888
                      4,                  1.321,                0.48611,                0.98194,                 1.5761,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.2849,                0.55417,                0.99167,                 1.5546,               0.009802,               0.009802,               0.009802
                      6,                 1.2183,                0.55278,                0.98889,                 1.5463,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.1738,                  0.575,                 0.9875,                 1.5141,               0.009703,               0.009703,               0.009703
                      8,                 1.1374,                0.53889,                0.98889,                 1.5219,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.1126,                0.58333,                0.99028,                 1.5075,               0.009604,               0.009604,               0.009604
                     10,                 1.0743,                0.59306,                0.99167,                 1.5139,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.0519,                0.56806,                0.99028,                 1.4978,               0.009505,               0.009505,               0.009505
                     12,                 1.0353,                0.62222,                0.99306,                 1.4744,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.0111,                0.58056,                0.99444,                 1.4909,               0.009406,               0.009406,               0.009406
                     14,                0.97895,                0.61389,                0.99722,                 1.4778,              0.0093565,              0.0093565,              0.0093565
                     15,                0.97232,                0.57917,                0.99167,                 1.4857,               0.009307,               0.009307,               0.009307
                     16,                 0.9426,                0.63611,                0.99028,                 1.4505,              0.0092575,              0.0092575,              0.0092575
                     17,                 0.9265,                0.61111,                0.99444,                 1.4609,               0.009208,               0.009208,               0.009208
                     18,                0.90486,                0.63333,                0.99583,                 1.4533,              0.0091585,              0.0091585,              0.0091585
                     19,                0.89047,                0.63889,                0.99722,                 1.4534,               0.009109,               0.009109,               0.009109
                     20,                0.86457,                0.62917,                0.99306,                 1.4489,              0.0090595,              0.0090595,              0.0090595
                     21,                0.87557,                0.62083,                0.99444,                  1.452,                0.00901,                0.00901,                0.00901
                     22,                0.84981,                0.64861,                0.99583,                 1.4437,              0.0089605,              0.0089605,              0.0089605
                     23,                0.81444,                0.63333,                0.99167,                 1.4361,               0.008911,               0.008911,               0.008911
                     24,                0.82252,                0.59722,                0.99583,                 1.4806,              0.0088615,              0.0088615,              0.0088615
                     25,                0.79883,                0.65417,                0.99306,                 1.4291,               0.008812,               0.008812,               0.008812
                     26,                0.76417,                0.63472,                0.99583,                 1.4299,              0.0087625,              0.0087625,              0.0087625
                     27,                0.76553,                0.63333,                0.99861,                 1.4329,               0.008713,               0.008713,               0.008713
                     28,                0.74931,                0.62222,                0.99444,                 1.4364,              0.0086635,              0.0086635,              0.0086635
                     29,                0.71498,                0.63611,                0.99306,                 1.4244,               0.008614,               0.008614,               0.008614
                     30,                0.71278,                0.64444,                0.99444,                 1.4294,              0.0085645,              0.0085645,              0.0085645
                     31,                0.70422,                0.64167,                0.99306,                  1.422,               0.008515,               0.008515,               0.008515
                     32,                0.69211,                0.64444,                0.99583,                 1.4111,              0.0084655,              0.0084655,              0.0084655
                     33,                0.64783,                0.63194,                0.99306,                 1.4217,               0.008416,               0.008416,               0.008416
                     34,                0.63962,                 0.6125,                0.99583,                 1.4376,              0.0083665,              0.0083665,              0.0083665
                     35,                0.64129,                0.66806,                0.99722,                 1.3984,               0.008317,               0.008317,               0.008317
                     36,                0.60843,                0.63889,                0.99583,                 1.4183,              0.0082675,              0.0082675,              0.0082675
                     37,                0.61212,                0.64444,                0.98889,                 1.4146,               0.008218,               0.008218,               0.008218
                     38,                0.60121,                0.66389,                0.99167,                 1.4012,              0.0081685,              0.0081685,              0.0081685
                     39,                0.56991,                0.64722,                0.99583,                 1.4103,               0.008119,               0.008119,               0.008119
                     40,                0.56596,                0.67361,                0.99028,                 1.3983,              0.0080695,              0.0080695,              0.0080695
                     41,                0.55804,                0.64444,                0.99583,                 1.4087,                0.00802,                0.00802,                0.00802
                     42,                0.54418,                0.66806,                0.99444,                 1.4006,              0.0079705,              0.0079705,              0.0079705
                     43,                0.53577,                0.65833,                0.99583,                 1.4018,               0.007921,               0.007921,               0.007921
                     44,                0.50124,                 0.6625,                0.99583,                  1.392,              0.0078715,              0.0078715,              0.0078715
                     45,                0.51961,                0.63472,                0.99583,                 1.4101,               0.007822,               0.007822,               0.007822
                     46,                0.48117,                0.63611,                0.99583,                 1.4081,              0.0077725,              0.0077725,              0.0077725
                     47,                0.48756,                0.66528,                0.99583,                 1.3941,               0.007723,               0.007723,               0.007723
                     48,                0.48662,                0.64444,                0.99167,                 1.3999,              0.0076735,              0.0076735,              0.0076735
                     49,                0.43167,                0.65417,                0.99444,                 1.3919,               0.007624,               0.007624,               0.007624
                     50,                0.44142,                0.64028,                 0.9875,                 1.4005,              0.0075745,              0.0075745,              0.0075745
                     51,                0.44431,                0.67778,                0.98889,                  1.382,               0.007525,               0.007525,               0.007525
                     52,                0.41276,                0.66944,                 0.9875,                 1.3786,              0.0074755,              0.0074755,              0.0074755
                     53,                0.40702,                0.65556,                0.99306,                 1.3962,               0.007426,               0.007426,               0.007426
                     54,                0.39821,                0.65833,                0.99028,                 1.3884,              0.0073765,              0.0073765,              0.0073765
                     55,                0.41169,                0.67639,                0.99306,                 1.3815,               0.007327,               0.007327,               0.007327
                     56,                0.36796,                0.65833,                0.98889,                  1.393,              0.0072775,              0.0072775,              0.0072775
                     57,                0.37818,                0.67083,                0.99167,                 1.3832,               0.007228,               0.007228,               0.007228
                     58,                0.36967,                0.67778,                0.99167,                 1.3775,              0.0071785,              0.0071785,              0.0071785
                     59,                0.35235,                0.65278,                0.99028,                 1.3885,               0.007129,               0.007129,               0.007129
                     60,                0.33169,                0.65417,                0.99306,                 1.3943,              0.0070795,              0.0070795,              0.0070795
                     61,                0.34652,                0.66111,                0.99444,                  1.381,                0.00703,                0.00703,                0.00703
                     62,                0.33298,                0.67917,                0.99583,                  1.374,              0.0069805,              0.0069805,              0.0069805
                     63,                0.31965,                0.65833,                0.99444,                 1.3841,               0.006931,               0.006931,               0.006931
                     64,                0.31737,                0.67778,                0.99722,                 1.3741,              0.0068815,              0.0068815,              0.0068815
                     65,                0.31507,                0.64722,                0.99306,                 1.3917,               0.006832,               0.006832,               0.006832
                     66,                0.31422,                0.68472,                0.99306,                  1.372,              0.0067825,              0.0067825,              0.0067825
                     67,                0.31065,                0.66944,                0.99028,                 1.3743,               0.006733,               0.006733,               0.006733
                     68,                0.30154,                0.66111,                0.99028,                 1.3816,              0.0066835,              0.0066835,              0.0066835
                     69,                0.29011,                0.67778,                0.99028,                 1.3732,               0.006634,               0.006634,               0.006634
                     70,                0.27305,                0.66528,                0.99444,                 1.3773,              0.0065845,              0.0065845,              0.0065845
                     71,                 0.2749,                0.67778,                0.99167,                 1.3679,               0.006535,               0.006535,               0.006535
                     72,                 0.2405,                 0.6625,                0.99444,                 1.3769,              0.0064855,              0.0064855,              0.0064855
                     73,                 0.2683,                0.66806,                0.99583,                 1.3832,               0.006436,               0.006436,               0.006436
                     74,                0.25479,                0.66528,                0.99167,                 1.3792,              0.0063865,              0.0063865,              0.0063865
                     75,                0.24523,                0.66389,                0.99444,                 1.3748,               0.006337,               0.006337,               0.006337
                     76,                0.23781,                0.66528,                0.99444,                 1.3791,              0.0062875,              0.0062875,              0.0062875
                     77,                0.22058,                 0.6875,                0.99306,                 1.3525,               0.006238,               0.006238,               0.006238
                     78,                0.24133,                0.68333,                0.99167,                 1.3716,              0.0061885,              0.0061885,              0.0061885
                     79,                0.24948,                0.66944,                0.99028,                 1.3677,               0.006139,               0.006139,               0.006139
                     80,                0.23973,                0.67639,                0.99028,                  1.368,              0.0060895,              0.0060895,              0.0060895
                     81,                0.22243,                0.66528,                0.99167,                 1.3718,                0.00604,                0.00604,                0.00604
                     82,                0.19699,                0.68056,                0.99306,                 1.3734,              0.0059905,              0.0059905,              0.0059905
                     83,                0.20048,                0.66528,                0.99444,                  1.374,               0.005941,               0.005941,               0.005941
                     84,                0.19812,                0.67778,                0.99444,                 1.3694,              0.0058915,              0.0058915,              0.0058915
                     85,                0.19929,                0.66806,                0.99722,                 1.3717,               0.005842,               0.005842,               0.005842
                     86,                0.19268,                0.66111,                0.99306,                 1.3764,              0.0057925,              0.0057925,              0.0057925
                     87,                0.16974,                0.66528,                0.99306,                 1.3682,               0.005743,               0.005743,               0.005743
                     88,                0.19078,                0.66806,                0.99306,                 1.3593,              0.0056935,              0.0056935,              0.0056935
                     89,                0.17307,                0.67361,                0.99444,                 1.3675,               0.005644,               0.005644,               0.005644
                     90,                0.18467,                0.68472,                0.99583,                 1.3597,              0.0055945,              0.0055945,              0.0055945
                     91,                0.19215,                0.67083,                0.99306,                 1.3646,               0.005545,               0.005545,               0.005545
                     92,                0.16887,                0.67917,                0.99583,                 1.3641,              0.0054955,              0.0054955,              0.0054955
                     93,                0.15729,                0.67639,                0.98889,                 1.3682,               0.005446,               0.005446,               0.005446
                     94,                0.17323,                0.67361,                0.99028,                 1.3702,              0.0053965,              0.0053965,              0.0053965
                     95,                0.15527,                0.67361,                0.99583,                 1.3684,               0.005347,               0.005347,               0.005347
                     96,                0.16481,                0.67083,                0.99167,                 1.3691,              0.0052975,              0.0052975,              0.0052975
                     97,                 0.1651,                0.66667,                0.99167,                 1.3717,               0.005248,               0.005248,               0.005248
                     98,                0.15932,                0.67639,                0.99306,                 1.3689,              0.0051985,              0.0051985,              0.0051985
                     99,                 0.1383,                0.67083,                0.99444,                 1.3699,               0.005149,               0.005149,               0.005149
                    100,                0.15409,                0.66528,                0.99583,                 1.3676,              0.0050995,              0.0050995,              0.0050995
                    101,                0.15244,                0.67361,                0.99583,                  1.366,                0.00505,                0.00505,                0.00505
                    102,                0.15574,                0.68472,                0.99583,                 1.3615,              0.0050005,              0.0050005,              0.0050005
                    103,                  0.143,                0.68333,                0.99444,                  1.358,               0.004951,               0.004951,               0.004951
                    104,                0.13626,                0.69444,                0.99306,                 1.3574,              0.0049015,              0.0049015,              0.0049015
                    105,                0.13546,                0.68472,                0.99722,                 1.3598,               0.004852,               0.004852,               0.004852
                    106,                0.13645,                0.69167,                0.99583,                 1.3577,              0.0048025,              0.0048025,              0.0048025
                    107,                0.14556,                0.68472,                0.99583,                 1.3593,               0.004753,               0.004753,               0.004753
                    108,                0.12546,                0.67361,                0.99722,                 1.3615,              0.0047035,              0.0047035,              0.0047035
                    109,                0.12217,                0.67778,                0.99722,                 1.3609,               0.004654,               0.004654,               0.004654
                    110,                 0.1205,                0.68889,                0.99861,                 1.3546,              0.0046045,              0.0046045,              0.0046045
                    111,                0.12415,                0.67917,                0.99722,                 1.3588,               0.004555,               0.004555,               0.004555
                    112,                0.10896,                0.68472,                0.99722,                  1.354,              0.0045055,              0.0045055,              0.0045055
                    113,                0.12914,                0.69306,                0.99583,                 1.3524,               0.004456,               0.004456,               0.004456
                    114,                0.11126,                0.69028,                0.99444,                 1.3542,              0.0044065,              0.0044065,              0.0044065
                    115,                0.11182,                0.67639,                0.99306,                 1.3579,               0.004357,               0.004357,               0.004357
                    116,                0.09373,                0.68056,                0.99306,                 1.3583,              0.0043075,              0.0043075,              0.0043075
                    117,                0.10566,                0.68333,                0.99444,                 1.3592,               0.004258,               0.004258,               0.004258
                    118,                0.09642,                 0.6875,                0.99444,                 1.3608,              0.0042085,              0.0042085,              0.0042085
                    119,                0.09588,                  0.675,                0.99444,                 1.3633,               0.004159,               0.004159,               0.004159
                    120,                0.09577,                0.66667,                0.99444,                 1.3654,              0.0041095,              0.0041095,              0.0041095
                    121,                0.09926,                0.66806,                0.99444,                 1.3669,                0.00406,                0.00406,                0.00406
                    122,                0.08993,                0.67222,                0.99583,                 1.3689,              0.0040105,              0.0040105,              0.0040105
                    123,                0.09471,                0.66111,                0.99722,                 1.3701,               0.003961,               0.003961,               0.003961
                    124,                0.08567,                0.67639,                0.99583,                 1.3691,              0.0039115,              0.0039115,              0.0039115
                    125,                0.08056,                0.67778,                0.99583,                 1.3669,               0.003862,               0.003862,               0.003862
                    126,                0.10383,                  0.675,                0.99444,                 1.3666,              0.0038125,              0.0038125,              0.0038125
                    127,                0.07963,                0.67917,                0.99444,                 1.3666,               0.003763,               0.003763,               0.003763
                    128,                0.08459,                0.67917,                0.99444,                  1.362,              0.0037135,              0.0037135,              0.0037135
                    129,                0.08436,                0.69028,                0.99583,                 1.3587,               0.003664,               0.003664,               0.003664
                    130,                0.08464,                0.68611,                0.99861,                 1.3578,              0.0036145,              0.0036145,              0.0036145
                    131,                0.06811,                0.69028,                0.99722,                 1.3574,               0.003565,               0.003565,               0.003565
                    132,                0.07768,                0.68611,                0.99583,                 1.3585,              0.0035155,              0.0035155,              0.0035155
                    133,                0.08032,                0.68611,                0.99583,                 1.3594,               0.003466,               0.003466,               0.003466
                    134,                0.07605,                0.68333,                0.99583,                 1.3613,              0.0034165,              0.0034165,              0.0034165
                    135,                0.06556,                0.68333,                0.99583,                 1.3629,               0.003367,               0.003367,               0.003367
                    136,                0.05963,                0.67778,                0.99583,                  1.365,              0.0033175,              0.0033175,              0.0033175
                    137,                0.06373,                  0.675,                0.99583,                 1.3663,               0.003268,               0.003268,               0.003268
                    138,                0.05958,                0.67083,                0.99444,                 1.3674,              0.0032185,              0.0032185,              0.0032185
                    139,                0.07054,                0.67361,                0.99583,                 1.3662,               0.003169,               0.003169,               0.003169
                    140,                0.07538,                0.67222,                0.99583,                 1.3654,              0.0031195,              0.0031195,              0.0031195
                    141,                 0.0505,                  0.675,                0.99722,                 1.3637,                0.00307,                0.00307,                0.00307
                    142,                0.06275,                0.67917,                0.99722,                 1.3624,              0.0030205,              0.0030205,              0.0030205
                    143,                 0.0574,                0.67639,                0.99722,                 1.3625,               0.002971,               0.002971,               0.002971
                    144,                 0.0504,                  0.675,                0.99722,                  1.363,              0.0029215,              0.0029215,              0.0029215
                    145,                0.05212,                0.67778,                0.99861,                 1.3618,               0.002872,               0.002872,               0.002872
                    146,                0.05445,                0.67917,                0.99861,                 1.3611,              0.0028225,              0.0028225,              0.0028225
                    147,                0.05092,                0.67917,                0.99722,                   1.36,               0.002773,               0.002773,               0.002773
                    148,                0.05023,                0.67917,                0.99583,                 1.3601,              0.0027235,              0.0027235,              0.0027235
                    149,                0.05004,                0.67917,                0.99583,                 1.3597,               0.002674,               0.002674,               0.002674
                    150,                0.05088,                0.68472,                0.99722,                 1.3585,              0.0026245,              0.0026245,              0.0026245
                    151,                0.04539,                 0.6875,                0.99722,                  1.358,               0.002575,               0.002575,               0.002575
                    152,                0.04573,                0.68333,                0.99722,                 1.3582,              0.0025255,              0.0025255,              0.0025255
                    153,                0.03612,                0.68333,                0.99722,                 1.3578,               0.002476,               0.002476,               0.002476
                    154,                0.04159,                0.68333,                      1,                 1.3578,              0.0024265,              0.0024265,              0.0024265
                    155,                0.04414,                0.68333,                0.99861,                 1.3579,               0.002377,               0.002377,               0.002377
                    156,                 0.0382,                0.67917,                0.99861,                 1.3583,              0.0023275,              0.0023275,              0.0023275
                    157,                0.04104,                0.68333,                0.99861,                 1.3587,               0.002278,               0.002278,               0.002278
                    158,                0.04579,                0.68611,                0.99861,                 1.3588,              0.0022285,              0.0022285,              0.0022285
                    159,                0.03744,                0.68611,                0.99722,                 1.3585,               0.002179,               0.002179,               0.002179
                    160,                0.03552,                0.68611,                0.99583,                 1.3583,              0.0021295,              0.0021295,              0.0021295
                    161,                0.03493,                0.68472,                0.99583,                 1.3581,                0.00208,                0.00208,                0.00208
                    162,                0.03478,                0.68472,                0.99444,                 1.3581,              0.0020305,              0.0020305,              0.0020305
                    163,                0.03811,                0.68056,                0.99444,                 1.3582,               0.001981,               0.001981,               0.001981
                    164,                0.03595,                0.68056,                0.99444,                 1.3585,              0.0019315,              0.0019315,              0.0019315
                    165,                 0.0292,                0.67917,                0.99444,                 1.3587,               0.001882,               0.001882,               0.001882
                    166,                0.03442,                  0.675,                0.99444,                 1.3587,              0.0018325,              0.0018325,              0.0018325
                    167,                0.03335,                0.67361,                0.99444,                 1.3589,               0.001783,               0.001783,               0.001783
                    168,                0.02684,                0.67639,                0.99444,                  1.359,              0.0017335,              0.0017335,              0.0017335
                    169,                0.02896,                  0.675,                0.99444,                 1.3588,               0.001684,               0.001684,               0.001684
                    170,                0.03022,                0.67361,                0.99306,                 1.3589,              0.0016345,              0.0016345,              0.0016345
                    171,                0.02968,                0.67083,                0.99306,                 1.3591,               0.001585,               0.001585,               0.001585
                    172,                0.02675,                0.67222,                0.99306,                 1.3596,              0.0015355,              0.0015355,              0.0015355
                    173,                0.02087,                0.67222,                0.99306,                 1.3598,               0.001486,               0.001486,               0.001486
                    174,                0.02348,                0.67083,                0.99306,                 1.3599,              0.0014365,              0.0014365,              0.0014365
                    175,                0.02593,                0.66806,                0.99306,                 1.3599,               0.001387,               0.001387,               0.001387
                    176,                0.02801,                0.67083,                0.99306,                 1.3602,              0.0013375,              0.0013375,              0.0013375
                    177,                0.02357,                0.67083,                0.99306,                 1.3608,               0.001288,               0.001288,               0.001288
                    178,                0.02433,                0.67361,                0.99306,                 1.3612,              0.0012385,              0.0012385,              0.0012385
                    179,                0.02186,                0.67222,                0.99306,                 1.3617,               0.001189,               0.001189,               0.001189
                    180,                 0.0216,                0.67222,                0.99306,                  1.362,              0.0011395,              0.0011395,              0.0011395
                    181,                0.02285,                0.67361,                0.99306,                 1.3622,                0.00109,                0.00109,                0.00109
                    182,                0.02335,                0.67361,                0.99306,                 1.3624,              0.0010405,              0.0010405,              0.0010405
                    183,                0.02117,                  0.675,                0.99306,                 1.3625,               0.000991,               0.000991,               0.000991
                    184,                0.01499,                0.67639,                0.99306,                 1.3625,              0.0009415,              0.0009415,              0.0009415
                    185,                 0.0208,                0.67361,                0.99306,                 1.3626,               0.000892,               0.000892,               0.000892
                    186,                 0.0182,                0.67222,                0.99306,                 1.3626,              0.0008425,              0.0008425,              0.0008425
                    187,                0.01925,                0.67222,                0.99306,                 1.3628,               0.000793,               0.000793,               0.000793
                    188,                 0.0208,                0.67083,                0.99306,                 1.3629,              0.0007435,              0.0007435,              0.0007435
                    189,                0.02464,                0.67222,                0.99306,                 1.3629,               0.000694,               0.000694,               0.000694
                    190,                0.01735,                0.67222,                0.99306,                  1.363,              0.0006445,              0.0006445,              0.0006445
                    191,                  0.017,                0.67222,                0.99306,                  1.363,               0.000595,               0.000595,               0.000595
                    192,                0.01572,                0.67222,                0.99306,                 1.3629,              0.0005455,              0.0005455,              0.0005455
                    193,                0.01799,                0.67361,                0.99306,                 1.3628,               0.000496,               0.000496,               0.000496
                    194,                0.01494,                0.67361,                0.99306,                 1.3628,              0.0004465,              0.0004465,              0.0004465
                    195,                0.01618,                0.67222,                0.99306,                 1.3628,               0.000397,               0.000397,               0.000397
                    196,                0.01422,                0.67083,                0.99306,                 1.3629,              0.0003475,              0.0003475,              0.0003475
                    197,                0.01609,                0.67083,                0.99306,                 1.3629,               0.000298,               0.000298,               0.000298
                    198,                0.01607,                0.67222,                0.99306,                 1.3631,              0.0002485,              0.0002485,              0.0002485
                    199,                0.01245,                0.67083,                0.99306,                 1.3629,               0.000199,               0.000199,               0.000199
                    200,                0.02063,                0.67083,                0.99306,                 1.3631,              0.0001495,              0.0001495,              0.0001495
