epoch,checkpoint_file,checkpoint_path,checkpoint_exists,evaluated,accuracy,auroc,auprc
1,epoch0.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11m_cls6_formal_200ep\weights\epoch_001.pt,1,1,0.498611,0.839069,0.960645
2,epoch1.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11m_cls6_formal_200ep\weights\epoch_002.pt,1,1,0.523611,0.855931,0.957974
3,epoch2.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11m_cls6_formal_200ep\weights\epoch_003.pt,1,1,0.422222,0.816264,0.956862
4,epoch3.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11m_cls6_formal_200ep\weights\epoch_004.pt,1,1,0.502778,0.830875,0.957495
5,epoch4.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11m_cls6_formal_200ep\weights\epoch_005.pt,1,1,0.513889,0.848542,0.960448
6,epoch5.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11m_cls6_formal_200ep\weights\epoch_006.pt,1,1,0.526389,0.863597,0.967903
7,epoch6.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11m_cls6_formal_200ep\weights\epoch_007.pt,1,1,0.5,0.855028,0.966364
8,epoch7.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11m_cls6_formal_200ep\weights\epoch_008.pt,1,1,0.555556,0.879375,0.968016
9,epoch8.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11m_cls6_formal_200ep\weights\epoch_009.pt,1,1,0.576389,0.904264,0.976648
10,epoch9.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11m_cls6_formal_200ep\weights\epoch_010.pt,1,1,0.580556,0.902944,0.976367
11,epoch10.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11m_cls6_formal_200ep\weights\epoch_011.pt,1,1,0.591667,0.900333,0.975185
12,epoch11.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11m_cls6_formal_200ep\weights\epoch_012.pt,1,1,0.593056,0.898,0.976738
13,epoch12.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11m_cls6_formal_200ep\weights\epoch_013.pt,1,1,0.590278,0.908681,0.978717
14,epoch13.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11m_cls6_formal_200ep\weights\epoch_014.pt,1,1,0.544444,0.899264,0.976413
15,epoch14.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11m_cls6_formal_200ep\weights\epoch_015.pt,1,1,0.581944,0.907306,0.978413
16,epoch15.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11m_cls6_formal_200ep\weights\epoch_016.pt,1,1,0.590278,0.923833,0.982675
17,epoch16.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11m_cls6_formal_200ep\weights\epoch_017.pt,1,1,0.584722,0.899611,0.974812
18,epoch17.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11m_cls6_formal_200ep\weights\epoch_018.pt,1,1,0.606944,0.906958,0.976073
19,epoch18.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11m_cls6_formal_200ep\weights\epoch_019.pt,1,1,0.625,0.921764,0.981851
20,epoch19.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11m_cls6_formal_200ep\weights\epoch_020.pt,1,1,0.604167,0.900319,0.975017
21,epoch20.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11m_cls6_formal_200ep\weights\epoch_021.pt,1,1,0.593056,0.912625,0.977824
22,epoch21.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11m_cls6_formal_200ep\weights\epoch_022.pt,1,1,0.631944,0.918694,0.979023
23,epoch22.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11m_cls6_formal_200ep\weights\epoch_023.pt,1,1,0.636111,0.919333,0.981544
