                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5243,                    0.5,                0.98333,                 1.6021,               0.003321,               0.003321,               0.003321
                      2,                 1.3291,                0.52361,                0.98472,                 1.5749,              0.0066214,              0.0066214,              0.0066214
                      3,                 1.3492,                0.42361,                0.97639,                 1.6413,              0.0098888,              0.0098888,              0.0098888
                      4,                 1.3744,                0.50278,                0.97361,                 1.5984,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.3405,                0.51389,                0.98333,                 1.5873,               0.009802,               0.009802,               0.009802
                      6,                 1.2657,                  0.525,                0.98472,                 1.5747,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.2267,                    0.5,                0.97917,                 1.5844,               0.009703,               0.009703,               0.009703
                      8,                  1.188,                0.55417,                0.98611,                 1.5313,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.1533,                0.57639,                0.99028,                 1.5272,               0.009604,               0.009604,               0.009604
                     10,                 1.1313,                0.57917,                0.99306,                  1.529,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.1018,                0.59167,                0.98889,                 1.5054,               0.009505,               0.009505,               0.009505
                     12,                 1.0882,                0.59306,                0.99306,                 1.5015,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.0614,                0.59167,                0.99167,                 1.5005,               0.009406,               0.009406,               0.009406
                     14,                 1.0496,                0.54444,                 0.9875,                 1.5324,              0.0093565,              0.0093565,              0.0093565
                     15,                 1.0277,                0.58194,                0.98889,                 1.4939,               0.009307,               0.009307,               0.009307
                     16,                 1.0067,                0.59028,                0.99444,                 1.4926,              0.0092575,              0.0092575,              0.0092575
                     17,                0.99919,                0.58611,                 0.9875,                 1.4854,               0.009208,               0.009208,               0.009208
                     18,                0.97883,                0.60694,                0.98611,                 1.4801,              0.0091585,              0.0091585,              0.0091585
                     19,                0.95913,                  0.625,                0.99722,                 1.4694,               0.009109,               0.009109,               0.009109
                     20,                0.94359,                0.60556,                0.99167,                 1.4865,              0.0090595,              0.0090595,              0.0090595
                     21,                0.93358,                0.59306,                0.99306,                 1.4687,                0.00901,                0.00901,                0.00901
                     22,                0.90673,                0.63194,                0.99306,                 1.4534,              0.0089605,              0.0089605,              0.0089605
                     23,                0.88397,                 0.6375,                0.99028,                 1.4423,               0.008911,               0.008911,               0.008911
                     24,                 0.8907,                0.63194,                0.99167,                 1.4606,              0.0088615,              0.0088615,              0.0088615
                     25,                0.86384,                0.61944,                0.99028,                 1.4481,               0.008812,               0.008812,               0.008812
                     26,                 0.8526,                 0.5875,                0.98611,                 1.4778,              0.0087625,              0.0087625,              0.0087625
                     27,                0.83673,                0.64444,                0.99167,                 1.4374,               0.008713,               0.008713,               0.008713
                     28,                0.82871,                0.64861,                0.99444,                 1.4393,              0.0086635,              0.0086635,              0.0086635
                     29,                0.79578,                0.62361,                0.99444,                 1.4637,               0.008614,               0.008614,               0.008614
                     30,                0.81145,                0.63472,                0.99444,                 1.4348,              0.0085645,              0.0085645,              0.0085645
                     31,                 0.7935,                0.64444,                0.99167,                 1.4383,               0.008515,               0.008515,               0.008515
                     32,                0.78011,                0.64306,                0.99028,                  1.433,              0.0084655,              0.0084655,              0.0084655
                     33,                0.75607,                0.63611,                0.99028,                 1.4258,               0.008416,               0.008416,               0.008416
                     34,                  0.748,                0.62361,                0.99306,                 1.4397,              0.0083665,              0.0083665,              0.0083665
                     35,                0.73518,                0.65972,                 0.9875,                 1.4167,               0.008317,               0.008317,               0.008317
                     36,                0.71825,                0.61806,                0.99583,                 1.4457,              0.0082675,              0.0082675,              0.0082675
                     37,                0.71807,                0.63611,                0.99167,                  1.427,               0.008218,               0.008218,               0.008218
                     38,                0.69592,                0.62778,                0.99444,                 1.4242,              0.0081685,              0.0081685,              0.0081685
                     39,                0.67533,                0.64028,                0.99028,                 1.4157,               0.008119,               0.008119,               0.008119
                     40,                0.67231,                0.62639,                0.99167,                  1.437,              0.0080695,              0.0080695,              0.0080695
