epoch,checkpoint_file,checkpoint_path,accuracy,auroc,auprc
1,epoch0.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11s_cls6_formal_200ep\weights\epoch_001.pt,0.476389,0.843875,0.961887
2,epoch1.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11s_cls6_formal_200ep\weights\epoch_002.pt,0.523611,0.824083,0.954323
3,epoch2.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11s_cls6_formal_200ep\weights\epoch_003.pt,0.422222,0.806542,0.956831
4,epoch3.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11s_cls6_formal_200ep\weights\epoch_004.pt,0.494444,0.843611,0.962705
5,epoch4.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11s_cls6_formal_200ep\weights\epoch_005.pt,0.502778,0.863069,0.967739
6,epoch5.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11s_cls6_formal_200ep\weights\epoch_006.pt,0.508333,0.854139,0.965538
7,epoch6.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11s_cls6_formal_200ep\weights\epoch_007.pt,0.511111,0.838264,0.954189
8,epoch7.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11s_cls6_formal_200ep\weights\epoch_008.pt,0.547222,0.865611,0.963426
9,epoch8.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11s_cls6_formal_200ep\weights\epoch_009.pt,0.533333,0.893931,0.976439
10,epoch9.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11s_cls6_formal_200ep\weights\epoch_010.pt,0.551389,0.877264,0.969958
11,epoch10.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11s_cls6_formal_200ep\weights\epoch_011.pt,0.590278,0.899819,0.973879
12,epoch11.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11s_cls6_formal_200ep\weights\epoch_012.pt,0.584722,0.895736,0.974945
13,epoch12.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11s_cls6_formal_200ep\weights\epoch_013.pt,0.598611,0.903528,0.977414
14,epoch13.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11s_cls6_formal_200ep\weights\epoch_014.pt,0.590278,0.908667,0.976183
15,epoch14.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11s_cls6_formal_200ep\weights\epoch_015.pt,0.581944,0.899125,0.974438
16,epoch15.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11s_cls6_formal_200ep\weights\epoch_016.pt,0.605556,0.913806,0.979274
17,epoch16.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11s_cls6_formal_200ep\weights\epoch_017.pt,0.602778,0.908875,0.978607
18,epoch17.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11s_cls6_formal_200ep\weights\epoch_018.pt,0.5875,0.916458,0.980389
19,epoch18.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11s_cls6_formal_200ep\weights\epoch_019.pt,0.620833,0.923903,0.981446
20,epoch19.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11s_cls6_formal_200ep\weights\epoch_020.pt,0.597222,0.90575,0.977676
21,epoch20.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11s_cls6_formal_200ep\weights\epoch_021.pt,0.615278,0.924097,0.981516
22,epoch21.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11s_cls6_formal_200ep\weights\epoch_022.pt,0.593056,0.923125,0.981702
23,epoch22.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11s_cls6_formal_200ep\weights\epoch_023.pt,0.588889,0.916861,0.980555
24,epoch23.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11s_cls6_formal_200ep\weights\epoch_024.pt,0.630556,0.922528,0.981418
