epoch,checkpoint_file,checkpoint_path,checkpoint_exists,evaluated,temperature_T,tau_r995,tau_r990,spec_at_r995,spec_at_r990,prec_at_r990,ptr_at_r990
1,epoch0.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11l_gate2_formal_200ep\weights\epoch_001.pt,1,1,0.840958,0.12,0.19,0.130952,0.190476,0.859794,0.962302
2,epoch1.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11l_gate2_formal_200ep\weights\epoch_002.pt,1,1,0.947821,0.18,0.31,0.035714,0.154762,0.854209,0.96627
3,epoch2.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11l_gate2_formal_200ep\weights\epoch_003.pt,1,1,0.747787,0.22,0.31,0.02381,0.071429,0.842105,0.980159
4,epoch3.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11l_gate2_formal_200ep\weights\epoch_004.pt,1,1,1.582272,0.48,0.49,0.166667,0.202381,0.861284,0.958333
5,epoch4.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11l_gate2_formal_200ep\weights\epoch_005.pt,1,1,0.969267,0.26,0.28,0.202381,0.22619,0.864865,0.954365
6,epoch5.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11l_gate2_formal_200ep\weights\epoch_006.pt,1,1,1.023876,0.32,0.36,0.190476,0.22619,0.864865,0.954365
7,epoch6.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11l_gate2_formal_200ep\weights\epoch_007.pt,1,1,0.80045,0.3,0.32,0.238095,0.261905,0.870293,0.948413
8,epoch7.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11l_gate2_formal_200ep\weights\epoch_008.pt,1,1,0.890953,0.22,0.27,0.130952,0.178571,0.857732,0.962302
9,epoch8.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11l_gate2_formal_200ep\weights\epoch_009.pt,1,1,1.561484,0.43,0.45,0.154762,0.178571,0.857732,0.962302
10,epoch9.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11l_gate2_formal_200ep\weights\epoch_010.pt,1,1,1.0125,0.37,0.4,0.238095,0.27381,0.872117,0.946429
