                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.41181,                 0.8625,                      1,                0.46795,               0.003321,               0.003321,               0.003321
                      2,                0.36997,                0.82361,                      1,                0.50573,              0.0066214,              0.0066214,              0.0066214
                      3,                0.38216,                0.85139,                      1,                0.49518,              0.0098888,              0.0098888,              0.0098888
                      4,                0.38479,                0.85694,                      1,                0.46942,              0.0098515,              0.0098515,              0.0098515
                      5,                0.37303,                0.86389,                      1,                0.46971,               0.009802,               0.009802,               0.009802
                      6,                 0.3629,                0.87222,                      1,                0.46408,              0.0097525,              0.0097525,              0.0097525
                      7,                0.35743,                0.87917,                      1,                0.46074,               0.009703,               0.009703,               0.009703
                      8,                0.34749,                0.88056,                      1,                0.45379,              0.0096535,              0.0096535,              0.0096535
                      9,                0.34375,                0.85417,                      1,                0.44688,               0.009604,               0.009604,               0.009604
                     10,                0.33579,                0.88889,                      1,                0.44987,              0.0095545,              0.0095545,              0.0095545
                     11,                 0.3323,                0.87222,                      1,                0.45221,               0.009505,               0.009505,               0.009505
                     12,                 0.3326,                0.87222,                      1,                0.44453,              0.0094555,              0.0094555,              0.0094555
                     13,                0.32757,                0.89028,                      1,                0.44684,               0.009406,               0.009406,               0.009406
                     14,                0.31607,                0.87917,                      1,                0.43799,              0.0093565,              0.0093565,              0.0093565
                     15,                0.30531,                0.88333,                      1,                0.44678,               0.009307,               0.009307,               0.009307
                     16,                 0.3079,                0.89028,                      1,                0.42715,              0.0092575,              0.0092575,              0.0092575
                     17,                0.29899,                0.87778,                      1,                0.47977,               0.009208,               0.009208,               0.009208
                     18,                0.30407,                    0.9,                      1,                0.43677,              0.0091585,              0.0091585,              0.0091585
                     19,                0.29144,                0.89167,                      1,                0.42896,               0.009109,               0.009109,               0.009109
                     20,                0.30705,                0.89028,                      1,                0.45168,              0.0090595,              0.0090595,              0.0090595
                     21,                0.29638,                0.90278,                      1,                0.42573,                0.00901,                0.00901,                0.00901
                     22,                 0.2921,                0.90139,                      1,                0.42726,              0.0089605,              0.0089605,              0.0089605
                     23,                0.27759,                0.90417,                      1,                0.42733,               0.008911,               0.008911,               0.008911
                     24,                0.27218,                0.90278,                      1,                0.42716,              0.0088615,              0.0088615,              0.0088615
                     25,                0.27019,                0.89583,                      1,                0.42391,               0.008812,               0.008812,               0.008812
                     26,                0.26417,                0.88611,                      1,                0.44528,              0.0087625,              0.0087625,              0.0087625
                     27,                0.26423,                0.90972,                      1,                 0.4231,               0.008713,               0.008713,               0.008713
                     28,                 0.2673,                0.90278,                      1,                0.42163,              0.0086635,              0.0086635,              0.0086635
                     29,                0.25893,                0.90417,                      1,                0.42274,               0.008614,               0.008614,               0.008614
                     30,                0.25477,                 0.9125,                      1,                0.41284,              0.0085645,              0.0085645,              0.0085645
                     31,                  0.241,                0.90139,                      1,                0.42612,               0.008515,               0.008515,               0.008515
                     32,                0.25305,                0.90417,                      1,                0.41613,              0.0084655,              0.0084655,              0.0084655
                     33,                0.24688,                0.89583,                      1,                0.42629,               0.008416,               0.008416,               0.008416
                     34,                 0.2476,                0.89583,                      1,                0.43019,              0.0083665,              0.0083665,              0.0083665
                     35,                0.23969,                0.90139,                      1,                0.42702,               0.008317,               0.008317,               0.008317
                     36,                 0.2367,                0.90139,                      1,                0.42069,              0.0082675,              0.0082675,              0.0082675
                     37,                 0.2378,                0.90833,                      1,                 0.4117,               0.008218,               0.008218,               0.008218
                     38,                0.23881,                0.89167,                      1,                0.42507,              0.0081685,              0.0081685,              0.0081685
                     39,                0.23703,                0.91111,                      1,                0.41803,               0.008119,               0.008119,               0.008119
                     40,                0.22538,                0.90417,                      1,                0.41048,              0.0080695,              0.0080695,              0.0080695
                     41,                0.21302,                0.90972,                      1,                0.40355,                0.00802,                0.00802,                0.00802
                     42,                0.22566,                0.91528,                      1,                0.40767,              0.0079705,              0.0079705,              0.0079705
                     43,                0.22091,                0.91528,                      1,                0.40596,               0.007921,               0.007921,               0.007921
                     44,                0.21512,                0.89444,                      1,                0.41943,              0.0078715,              0.0078715,              0.0078715
                     45,                0.20977,                    0.9,                      1,                0.41899,               0.007822,               0.007822,               0.007822
                     46,                0.21954,                0.90972,                      1,                 0.4099,              0.0077725,              0.0077725,              0.0077725
                     47,                0.20594,                0.90278,                      1,                0.41341,               0.007723,               0.007723,               0.007723
                     48,                0.20854,                0.90417,                      1,                0.40822,              0.0076735,              0.0076735,              0.0076735
                     49,                0.20747,                0.89722,                      1,                0.42015,               0.007624,               0.007624,               0.007624
                     50,                0.19247,                0.90694,                      1,                0.40675,              0.0075745,              0.0075745,              0.0075745
                     51,                0.19999,                0.90278,                      1,                0.40942,               0.007525,               0.007525,               0.007525
                     52,                0.20425,                0.91667,                      1,                0.40495,              0.0074755,              0.0074755,              0.0074755
                     53,                0.19392,                0.91528,                      1,                0.40252,               0.007426,               0.007426,               0.007426
                     54,                0.18132,                 0.9125,                      1,                0.40169,              0.0073765,              0.0073765,              0.0073765
                     55,                 0.2035,                0.92083,                      1,                  0.409,               0.007327,               0.007327,               0.007327
                     56,                0.19109,                0.91111,                      1,                0.40583,              0.0072775,              0.0072775,              0.0072775
                     57,                0.18538,                0.90278,                      1,                0.40693,               0.007228,               0.007228,               0.007228
                     58,                0.18763,                0.90417,                      1,                0.40719,              0.0071785,              0.0071785,              0.0071785
                     59,                0.19064,                0.90278,                      1,                0.40601,               0.007129,               0.007129,               0.007129
                     60,                0.17921,                0.91528,                      1,                0.39725,              0.0070795,              0.0070795,              0.0070795
                     61,                0.17875,                0.91389,                      1,                0.40345,                0.00703,                0.00703,                0.00703
                     62,                 0.1793,                0.90972,                      1,                0.39917,              0.0069805,              0.0069805,              0.0069805
                     63,                0.17363,                0.91806,                      1,                0.39849,               0.006931,               0.006931,               0.006931
                     64,                0.17341,                0.91389,                      1,                0.40221,              0.0068815,              0.0068815,              0.0068815
                     65,                0.16782,                0.90556,                      1,                0.40247,               0.006832,               0.006832,               0.006832
                     66,                0.16687,                0.90833,                      1,                0.40203,              0.0067825,              0.0067825,              0.0067825
                     67,                 0.1631,                0.92222,                      1,                0.39536,               0.006733,               0.006733,               0.006733
                     68,                 0.1662,                0.90972,                      1,                0.39855,              0.0066835,              0.0066835,              0.0066835
                     69,                0.15458,                0.92083,                      1,                0.39513,               0.006634,               0.006634,               0.006634
