epoch,checkpoint_file,checkpoint_path,temperature_T,tau_r995,tau_r990,spec_at_r995,spec_at_r990,prec_at_r990,ptr_at_r990,tn_at_r995,fn_at_r995,tn_at_r990,fn_at_r990
1,epoch0.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11m_gate2_formal_200ep\weights\epoch_001.pt,0.791438,0.13,0.19,0.202381,0.27381,0.872117,0.946429,17,2,23,4
2,epoch1.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11m_gate2_formal_200ep\weights\epoch_002.pt,1.330668,0.27,0.33,0.047619,0.059524,0.840726,0.984127,4,2,5,3
3,epoch2.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11m_gate2_formal_200ep\weights\epoch_003.pt,0.859685,0.25,0.28,0.02381,0.035714,0.837349,0.988095,2,2,3,3
4,epoch3.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11m_gate2_formal_200ep\weights\epoch_004.pt,1.594548,0.47,0.5,0.047619,0.142857,0.852459,0.968254,4,1,12,4
5,epoch4.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11m_gate2_formal_200ep\weights\epoch_005.pt,0.889509,0.21,0.36,0.095238,0.22619,0.864865,0.954365,8,2,19,4
6,epoch5.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11m_gate2_formal_200ep\weights\epoch_006.pt,0.890751,0.4,0.48,0.142857,0.321429,0.879493,0.938492,12,2,27,4
7,epoch6.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11m_gate2_formal_200ep\weights\epoch_007.pt,0.946419,0.28,0.39,0.27381,0.380952,0.888889,0.928571,23,2,32,4
8,epoch7.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11m_gate2_formal_200ep\weights\epoch_008.pt,1.026026,0.22,0.25,0.02381,0.095238,0.845528,0.97619,2,2,8,4
9,epoch8.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11m_gate2_formal_200ep\weights\epoch_009.pt,1.198636,0.35,0.45,0.011905,0.119048,0.849287,0.974206,1,1,10,3
10,epoch9.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11m_gate2_formal_200ep\weights\epoch_010.pt,1.027262,0.18,0.29,0.178571,0.309524,0.877637,0.940476,15,2,26,4
11,epoch10.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11m_gate2_formal_200ep\weights\epoch_011.pt,1.047143,0.22,0.26,0.190476,0.25,0.86875,0.952381,16,2,21,3
12,epoch11.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11m_gate2_formal_200ep\weights\epoch_012.pt,1.248292,0.36,0.38,0.238095,0.261905,0.870293,0.948413,20,2,22,4
13,epoch12.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11m_gate2_formal_200ep\weights\epoch_013.pt,1.08305,0.18,0.22,0.130952,0.202381,0.861284,0.958333,11,2,17,4
14,epoch13.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11m_gate2_formal_200ep\weights\epoch_014.pt,1.429356,0.23,0.32,0.154762,0.261905,0.870293,0.948413,13,1,22,4
15,epoch14.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11m_gate2_formal_200ep\weights\epoch_015.pt,0.903443,0.38,0.51,0.166667,0.333333,0.881356,0.936508,14,2,28,4
16,epoch15.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11m_gate2_formal_200ep\weights\epoch_016.pt,1.152468,0.17,0.26,0.190476,0.25,0.86875,0.952381,16,2,21,3
17,epoch16.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11m_gate2_formal_200ep\weights\epoch_017.pt,1.036513,0.28,0.3,0.345238,0.369048,0.886994,0.930556,29,2,31,4
18,epoch17.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11m_gate2_formal_200ep\weights\epoch_018.pt,1.000367,0.31,0.46,0.25,0.369048,0.886994,0.930556,21,2,31,4
19,epoch18.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11m_gate2_formal_200ep\weights\epoch_019.pt,1.385474,0.25,0.26,0.25,0.285714,0.874214,0.946429,21,2,24,3
20,epoch19.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11m_gate2_formal_200ep\weights\epoch_020.pt,1.10943,0.22,0.28,0.190476,0.238095,0.866667,0.952381,16,1,20,4
21,epoch20.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11m_gate2_formal_200ep\weights\epoch_021.pt,1.064987,0.34,0.45,0.238095,0.333333,0.881356,0.936508,20,2,28,4
22,epoch21.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11m_gate2_formal_200ep\weights\epoch_022.pt,1.056844,0.39,0.44,0.380952,0.416667,0.894624,0.922619,32,2,35,4
23,epoch22.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11m_gate2_formal_200ep\weights\epoch_023.pt,1.439337,0.34,0.36,0.380952,0.392857,0.891026,0.928571,32,2,33,3
24,epoch23.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11m_gate2_formal_200ep\weights\epoch_024.pt,0.942371,0.11,0.16,0.27381,0.392857,0.890792,0.926587,23,1,33,4
25,epoch24.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11m_gate2_formal_200ep\weights\epoch_025.pt,1.041544,0.27,0.3,0.416667,0.452381,0.900433,0.916667,35,2,38,4
26,epoch25.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11m_gate2_formal_200ep\weights\epoch_026.pt,0.856974,0.07,0.11,0.261905,0.440476,0.898488,0.918651,22,2,37,4
27,epoch26.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11m_gate2_formal_200ep\weights\epoch_027.pt,1.19641,0.22,0.32,0.27381,0.392857,0.891026,0.928571,23,2,33,3
