epoch,checkpoint_file,checkpoint_path,temperature_T,tau_r995,tau_r990,spec_at_r995,spec_at_r990,prec_at_r990,ptr_at_r990,tn_at_r995,fn_at_r995,tn_at_r990,fn_at_r990
1,epoch0.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11n_gate2_formal_200ep\weights\epoch_001.pt,0.997246,0.25,0.27,0.178571,0.202381,0.86157,0.960317,15,2,17,3
2,epoch1.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11n_gate2_formal_200ep\weights\epoch_002.pt,1.050117,0.07,0.24,0.011905,0.035714,0.837022,0.986111,1,0,3,4
3,epoch2.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11n_gate2_formal_200ep\weights\epoch_003.pt,1.613126,0.01,0.23,0.0,0.059524,0.840726,0.984127,0,0,5,3
4,epoch3.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11n_gate2_formal_200ep\weights\epoch_004.pt,1.134696,0.29,0.29,0.178571,0.178571,0.858316,0.96627,15,2,15,2
5,epoch4.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11n_gate2_formal_200ep\weights\epoch_005.pt,1.028487,0.29,0.32,0.178571,0.190476,0.859504,0.960317,15,2,16,4
6,epoch5.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11n_gate2_formal_200ep\weights\epoch_006.pt,1.005069,0.39,0.45,0.047619,0.202381,0.861284,0.958333,4,1,17,4
7,epoch6.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11n_gate2_formal_200ep\weights\epoch_007.pt,0.967193,0.26,0.27,0.214286,0.22619,0.864865,0.954365,18,2,19,4
8,epoch7.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11n_gate2_formal_200ep\weights\epoch_008.pt,1.44941,0.39,0.42,0.214286,0.22619,0.864865,0.954365,18,2,19,4
9,epoch8.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11n_gate2_formal_200ep\weights\epoch_009.pt,1.254615,0.4,0.44,0.119048,0.166667,0.855967,0.964286,10,2,14,4
10,epoch9.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11n_gate2_formal_200ep\weights\epoch_010.pt,0.856053,0.2,0.27,0.202381,0.25,0.868476,0.950397,17,2,21,4
