epoch,train_loss,val_loss,top1,top5,lr_pg0,lr_pg1,lr_pg2,epoch_time_seconds,elapsed_seconds,batch_size,accumulate,effective_batch,gpu_mem_reserved_gb,gpu_mem_peak_reserved_gb,gpu_mem_peak_allocated_gb,fitness,best_fitness_so_far,best_epoch_so_far,possible_early_stop,stop_triggered,is_best_epoch
1,0.39291,0.48376,0.86806,1.0,0.003320987654320988,0.003320987654320988,0.003320987654320988,44.9211585521698,44.9211585521698,24,2,48,5.769265152,5.769265152,3.54094848,0.93403,0.93403,1,0,0,1
2,0.38264,0.46978,0.83472,1.0,0.006621382098765432,0.006621382098765432,0.006621382098765432,42.18570065498352,87.10786056518555,24,2,48,5.78813952,5.78813952,3.53754112,0.91736,0.93403,1,0,0,0
3,0.40315,0.48076,0.85556,1.0,0.009888776543209877,0.009888776543209877,0.009888776543209877,42.43010640144348,129.5369656085968,24,3,72,5.783945216,5.783945216,3.554503168,0.92778,0.93403,1,0,0,0
4,0.39612,0.48219,0.85417,1.0,0.0098515,0.0098515,0.0098515,42.526280641555786,172.0632462501526,24,3,72,5.769265152,5.769265152,3.55545344,0.92708,0.93403,1,0,0,0
5,0.3843,0.49173,0.85972,1.0,0.009802,0.009802,0.009802,42.04163670539856,214.10488295555115,24,3,72,5.769265152,5.769265152,3.55660032,0.92986,0.93403,1,0,0,0
6,0.38243,0.48013,0.86389,1.0,0.009752499999999999,0.009752499999999999,0.009752499999999999,42.74242949485779,256.84731245040894,24,3,72,5.769265152,5.769265152,3.55660032,0.93194,0.93403,1,0,0,0
7,0.38553,0.48213,0.84722,1.0,0.009703,0.009703,0.009703,42.84386372566223,299.69117617607117,24,3,72,5.769265152,5.769265152,3.55660032,0.92361,0.93403,1,0,0,0
8,0.37629,0.47822,0.83333,1.0,0.009653499999999999,0.009653499999999999,0.009653499999999999,42.59326434135437,342.28444051742554,24,3,72,5.769265152,5.769265152,3.55660032,0.91667,0.93403,1,0,0,0
9,0.37895,0.48812,0.85972,1.0,0.009604,0.009604,0.009604,42.79248261451721,385.07792139053345,24,3,72,5.769265152,5.769265152,3.55660032,0.92986,0.93403,1,0,0,0
10,0.38018,0.47008,0.86389,1.0,0.009554499999999999,0.009554499999999999,0.009554499999999999,42.64990019798279,427.72782349586487,24,3,72,5.769265152,5.769265152,3.55660032,0.93194,0.93403,1,0,0,0
