                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.39291,                0.86806,                      1,                0.48376,               0.003321,               0.003321,               0.003321
                      2,                0.38264,                0.83472,                      1,                0.46978,              0.0066214,              0.0066214,              0.0066214
                      3,                0.40315,                0.85556,                      1,                0.48076,              0.0098888,              0.0098888,              0.0098888
                      4,                0.39612,                0.85417,                      1,                0.48219,              0.0098515,              0.0098515,              0.0098515
                      5,                 0.3843,                0.85972,                      1,                0.49173,               0.009802,               0.009802,               0.009802
                      6,                0.38243,                0.86389,                      1,                0.48013,              0.0097525,              0.0097525,              0.0097525
                      7,                0.38553,                0.84722,                      1,                0.48213,               0.009703,               0.009703,               0.009703
                      8,                0.37629,                0.83333,                      1,                0.47822,              0.0096535,              0.0096535,              0.0096535
                      9,                0.37895,                0.85972,                      1,                0.48812,               0.009604,               0.009604,               0.009604
                     10,                0.38018,                0.86389,                      1,                0.47008,              0.0095545,              0.0095545,              0.0095545
                     11,                0.36539,                0.85833,                      1,                0.46702,               0.009505,               0.009505,               0.009505
                     12,                0.36092,                0.86528,                      1,                0.46442,              0.0094555,              0.0094555,              0.0094555
                     13,                0.35794,                0.84306,                      1,                0.51966,               0.009406,               0.009406,               0.009406
                     14,                0.35904,                0.87222,                      1,                 0.4516,              0.0093565,              0.0093565,              0.0093565
                     15,                0.35006,                0.87222,                      1,                0.45161,               0.009307,               0.009307,               0.009307
                     16,                0.35174,                0.86111,                      1,                0.46206,              0.0092575,              0.0092575,              0.0092575
                     17,                0.34717,                0.87917,                      1,                0.46654,               0.009208,               0.009208,               0.009208
                     18,                0.35077,                0.86528,                      1,                 0.4582,              0.0091585,              0.0091585,              0.0091585
                     19,                0.34149,                0.87639,                      1,                0.44855,               0.009109,               0.009109,               0.009109
                     20,                0.33868,                0.88056,                      1,                0.46178,              0.0090595,              0.0090595,              0.0090595
                     21,                0.33492,                0.88056,                      1,                0.45762,                0.00901,                0.00901,                0.00901
                     22,                0.35376,                0.87083,                      1,                0.45628,              0.0089605,              0.0089605,              0.0089605
