epoch,checkpoint_file,checkpoint_path,temperature_T,tau_r995,tau_r990,spec_at_r995,spec_at_r990,prec_at_r990,ptr_at_r990,tn_at_r995,fn_at_r995,tn_at_r990,fn_at_r990
1,epoch0.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11x_gate2_formal_200ep\weights\epoch_001.pt,0.772305,0.17,0.17,0.202381,0.202381,0.861856,0.962302,17,2,17,2
2,epoch1.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11x_gate2_formal_200ep\weights\epoch_002.pt,0.999251,0.12,0.2,0.035714,0.130952,0.850716,0.970238,3,1,11,4
3,epoch2.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11x_gate2_formal_200ep\weights\epoch_003.pt,1.576138,0.47,0.48,0.083333,0.107143,0.847561,0.97619,7,2,9,3
4,epoch3.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11x_gate2_formal_200ep\weights\epoch_004.pt,0.646157,0.33,0.41,0.154762,0.22619,0.864865,0.954365,13,2,19,4
5,epoch4.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11x_gate2_formal_200ep\weights\epoch_005.pt,0.87858,0.11,0.22,0.190476,0.297619,0.875789,0.94246,16,1,25,4
6,epoch5.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11x_gate2_formal_200ep\weights\epoch_006.pt,0.830116,0.29,0.29,0.25,0.25,0.869023,0.954365,21,2,21,2
7,epoch6.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11x_gate2_formal_200ep\weights\epoch_007.pt,0.776022,0.11,0.11,0.142857,0.142857,0.853061,0.972222,12,2,12,2
8,epoch7.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11x_gate2_formal_200ep\weights\epoch_008.pt,0.935552,0.39,0.46,0.166667,0.345238,0.883227,0.934524,14,2,29,4
9,epoch8.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11x_gate2_formal_200ep\weights\epoch_009.pt,1.101344,0.1,0.34,0.035714,0.154762,0.854209,0.96627,3,1,13,4
10,epoch9.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11x_gate2_formal_200ep\weights\epoch_010.pt,1.232189,0.14,0.17,0.321429,0.380952,0.889126,0.930556,27,2,32,3
11,epoch10.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11x_gate2_formal_200ep\weights\epoch_011.pt,1.022556,0.13,0.21,0.059524,0.238095,0.866667,0.952381,5,2,20,4
12,epoch11.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11x_gate2_formal_200ep\weights\epoch_012.pt,1.153097,0.27,0.31,0.25,0.309524,0.877895,0.94246,21,1,26,3
13,epoch12.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11x_gate2_formal_200ep\weights\epoch_013.pt,1.426991,0.18,0.2,0.119048,0.130952,0.85102,0.972222,10,2,11,3
14,epoch13.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11x_gate2_formal_200ep\weights\epoch_014.pt,1.620279,0.29,0.32,0.214286,0.261905,0.870293,0.948413,18,2,22,4
15,epoch14.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11x_gate2_formal_200ep\weights\epoch_015.pt,0.952822,0.09,0.22,0.119048,0.333333,0.881356,0.936508,10,2,28,4
16,epoch15.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11x_gate2_formal_200ep\weights\epoch_016.pt,1.094411,0.24,0.25,0.345238,0.357143,0.88535,0.934524,29,2,30,3
17,epoch16.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11x_gate2_formal_200ep\weights\epoch_017.pt,0.929176,0.11,0.13,0.345238,0.369048,0.886994,0.930556,29,2,31,4
18,epoch17.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11x_gate2_formal_200ep\weights\epoch_018.pt,0.939307,0.3,0.32,0.452381,0.47619,0.904555,0.914683,38,2,40,3
19,epoch18.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11x_gate2_formal_200ep\weights\epoch_019.pt,1.215719,0.26,0.38,0.190476,0.333333,0.881356,0.936508,16,2,28,4
20,epoch19.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11x_gate2_formal_200ep\weights\epoch_020.pt,1.236805,0.25,0.36,0.261905,0.333333,0.881356,0.936508,22,2,28,4
21,epoch20.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11x_gate2_formal_200ep\weights\epoch_021.pt,0.969566,0.16,0.22,0.238095,0.333333,0.881356,0.936508,20,2,28,4
22,epoch21.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11x_gate2_formal_200ep\weights\epoch_022.pt,1.136964,0.31,0.34,0.404762,0.440476,0.898707,0.920635,34,2,37,3
23,epoch22.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11x_gate2_formal_200ep\weights\epoch_023.pt,1.271115,0.08,0.17,0.345238,0.488095,0.906318,0.910714,29,2,41,4
24,epoch23.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11x_gate2_formal_200ep\weights\epoch_024.pt,1.141126,0.11,0.21,0.428571,0.52381,0.912281,0.904762,36,2,44,4
