                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.40404,                0.87083,                      1,                0.47131,               0.003321,               0.003321,               0.003321
                      2,                0.36832,                0.83194,                      1,                 0.4916,              0.0066214,              0.0066214,              0.0066214
                      3,                0.38223,                0.85556,                      1,                0.45701,              0.0098888,              0.0098888,              0.0098888
                      4,                0.37525,                0.85972,                      1,                0.49933,              0.0098515,              0.0098515,              0.0098515
                      5,                 0.3643,                0.88194,                      1,                0.46366,               0.009802,               0.009802,               0.009802
                      6,                0.34318,                0.86944,                      1,                0.47327,              0.0097525,              0.0097525,              0.0097525
                      7,                0.34138,                0.85833,                      1,                0.47762,               0.009703,               0.009703,               0.009703
                      8,                0.33569,                0.87778,                      1,                0.45846,              0.0096535,              0.0096535,              0.0096535
                      9,                0.32931,                0.87917,                      1,                0.45306,               0.009604,               0.009604,               0.009604
                     10,                 0.3212,                0.87083,                      1,                0.45177,              0.0095545,              0.0095545,              0.0095545
                     11,                0.31664,                0.88056,                      1,                0.44904,               0.009505,               0.009505,               0.009505
                     12,                0.30322,                0.88056,                      1,                0.44935,              0.0094555,              0.0094555,              0.0094555
                     13,                0.29547,                0.88333,                      1,                0.43037,               0.009406,               0.009406,               0.009406
                     14,                0.28992,                0.89028,                      1,                0.42438,              0.0093565,              0.0093565,              0.0093565
                     15,                0.28396,                0.89861,                      1,                0.43576,               0.009307,               0.009307,               0.009307
                     16,                0.28541,                0.89167,                      1,                0.42905,              0.0092575,              0.0092575,              0.0092575
                     17,                0.28067,                0.89444,                      1,                0.43714,               0.009208,               0.009208,               0.009208
                     18,                0.27732,                0.90556,                      1,                0.42554,              0.0091585,              0.0091585,              0.0091585
                     19,                 0.2786,                    0.9,                      1,                0.42454,               0.009109,               0.009109,               0.009109
                     20,                0.27339,                0.89306,                      1,                0.42113,              0.0090595,              0.0090595,              0.0090595
                     21,                0.26147,                0.90417,                      1,                0.42489,                0.00901,                0.00901,                0.00901
                     22,                0.25351,                0.90833,                      1,                0.41377,              0.0089605,              0.0089605,              0.0089605
                     23,                0.24032,                0.90139,                      1,                0.41711,               0.008911,               0.008911,               0.008911
                     24,                0.24964,                0.91944,                      1,                0.41574,              0.0088615,              0.0088615,              0.0088615
                     25,                0.24209,                0.90694,                      1,                0.41683,               0.008812,               0.008812,               0.008812
                     26,                0.23073,                0.89583,                      1,                0.41818,              0.0087625,              0.0087625,              0.0087625
                     27,                0.23555,                0.90972,                      1,                0.41348,               0.008713,               0.008713,               0.008713
                     28,                0.22854,                0.91528,                      1,                0.41488,              0.0086635,              0.0086635,              0.0086635
                     29,                0.23137,                    0.9,                      1,                0.42041,               0.008614,               0.008614,               0.008614
                     30,                0.21729,                0.91389,                      1,                0.40866,              0.0085645,              0.0085645,              0.0085645
                     31,                0.22082,                    0.9,                      1,                0.42376,               0.008515,               0.008515,               0.008515
                     32,                0.21852,                0.90972,                      1,                0.41359,              0.0084655,              0.0084655,              0.0084655
                     33,                0.21547,                0.90694,                      1,                0.41906,               0.008416,               0.008416,               0.008416
                     34,                 0.2096,                0.91806,                      1,                 0.4085,              0.0083665,              0.0083665,              0.0083665
                     35,                0.20773,                0.90278,                      1,                0.42197,               0.008317,               0.008317,               0.008317
                     36,                0.20917,                0.90972,                      1,                0.41234,              0.0082675,              0.0082675,              0.0082675
                     37,                0.20341,                0.91528,                      1,                0.40924,               0.008218,               0.008218,               0.008218
                     38,                0.20375,                0.90556,                      1,                0.41206,              0.0081685,              0.0081685,              0.0081685
                     39,                0.19586,                0.91806,                      1,                0.40562,               0.008119,               0.008119,               0.008119
                     40,                0.19924,                0.90833,                      1,                0.40959,              0.0080695,              0.0080695,              0.0080695
                     41,                0.18915,                0.91389,                      1,                0.40597,                0.00802,                0.00802,                0.00802
                     42,                0.19795,                0.91806,                      1,                0.40757,              0.0079705,              0.0079705,              0.0079705
                     43,                0.19562,                0.90833,                      1,                0.41167,               0.007921,               0.007921,               0.007921
                     44,                0.19122,                0.89306,                      1,                 0.4195,              0.0078715,              0.0078715,              0.0078715
                     45,                0.17929,                0.90417,                      1,                 0.4078,               0.007822,               0.007822,               0.007822
                     46,                0.18656,                0.91806,                      1,                0.40225,              0.0077725,              0.0077725,              0.0077725
                     47,                 0.1761,                0.91111,                      1,                0.40949,               0.007723,               0.007723,               0.007723
                     48,                0.17521,                0.90417,                      1,                0.40968,              0.0076735,              0.0076735,              0.0076735
                     49,                0.17762,                0.92222,                      1,                0.39993,               0.007624,               0.007624,               0.007624
                     50,                0.17005,                 0.9125,                      1,                0.40562,              0.0075745,              0.0075745,              0.0075745
                     51,                0.16415,                0.90833,                      1,                0.40718,               0.007525,               0.007525,               0.007525
                     52,                0.16414,                0.91528,                      1,                0.40394,              0.0074755,              0.0074755,              0.0074755
                     53,                 0.1632,                 0.9125,                      1,                0.40116,               0.007426,               0.007426,               0.007426
                     54,                 0.1461,                0.91667,                      1,                0.39829,              0.0073765,              0.0073765,              0.0073765
                     55,                0.15693,                0.90278,                      1,                0.40741,               0.007327,               0.007327,               0.007327
                     56,                0.16163,                0.90278,                      1,                0.40617,              0.0072775,              0.0072775,              0.0072775
                     57,                0.15264,                0.90556,                      1,                0.40192,               0.007228,               0.007228,               0.007228
                     58,                0.14961,                0.90833,                      1,                0.40568,              0.0071785,              0.0071785,              0.0071785
                     59,                0.14984,                0.92222,                      1,                0.40015,               0.007129,               0.007129,               0.007129
                     60,                0.13903,                0.91111,                      1,                0.40073,              0.0070795,              0.0070795,              0.0070795
                     61,                0.14598,                0.91667,                      1,                0.40177,                0.00703,                0.00703,                0.00703
                     62,                0.14846,                0.90278,                      1,                0.40586,              0.0069805,              0.0069805,              0.0069805
                     63,                0.13069,                0.90694,                      1,                0.40493,               0.006931,               0.006931,               0.006931
                     64,                0.12871,                0.91389,                      1,                 0.3978,              0.0068815,              0.0068815,              0.0068815
                     65,                0.12998,                0.91667,                      1,                0.40213,               0.006832,               0.006832,               0.006832
                     66,                0.12971,                    0.9,                      1,                0.40465,              0.0067825,              0.0067825,              0.0067825
                     67,                0.13359,                0.92222,                      1,                0.39827,               0.006733,               0.006733,               0.006733
                     68,                0.12965,                0.91806,                      1,                0.39821,              0.0066835,              0.0066835,              0.0066835
