experiment_id,signal,bucket,n_unique,n_replay,best_epoch,spec_r995,spec_r990,prec_r990,ptr_r990,tau_r995,tau_r990,temperature_T,status
R-Q1,R,Q1,50,151,,,,,,,,,missing
R-Q2,R,Q2,50,151,,,,,,,,,missing
R-Q3,R,Q3,50,151,,,,,,,,,missing
R-Q4,R,Q4,50,151,,,,,,,,,missing
R-Q5,R,Q5,50,151,,,,,,,,,missing
C-Q1,C,Q1,50,151,,,,,,,,,missing
C-Q2,C,Q2,50,151,,,,,,,,,missing
C-Q3,C,Q3,50,151,78,0.535714,0.571429,0.920354,0.896825,0.2,0.27,2.370902,completed
C-Q4,C,Q4,50,151,82,0.607143,0.630952,0.930649,0.886905,0.29,0.33,2.607577,completed
C-Q5,C,Q5,50,151,161,0.583333,0.607143,0.926503,0.890873,0.31,0.37,3.456179,completed
D-Q1,D,Q1,50,151,57,0.595238,0.642857,0.932886,0.886905,0.32,0.39,2.084112,completed
D-Q2,D,Q2,50,151,46,0.547619,0.595238,0.924444,0.892857,0.25,0.28,2.15006,completed
D-Q3,D,Q3,50,151,72,0.607143,0.619048,0.928731,0.890873,0.31,0.32,2.519199,completed
D-Q4,D,Q4,50,151,41,0.559524,0.583333,0.922395,0.894841,0.34,0.36,2.385362,completed
D-Q5,D,Q5,50,151,81,0.547619,0.583333,0.922395,0.894841,0.3,0.32,2.770505,completed
G0,baseline,G0,151,151,,,,,,,,,missing
