model_key,model_label,ratio_id,ratio_percent,backflow_count,run_name,best_epoch,best_checkpoint_path,checkpoint_exists,spec_at_r995,spec_at_r990,prec_at_r990,ptr_at_r990,tau_r995,tau_r990,temperature_T,tn_at_r995,fn_at_r995,tn_at_r990,fn_at_r990,run_dir,summary_dir,status
yolo11n,yolo11n-cls,hn00,0,0,yolo11n_gate2_formal_hn00_200ep,76,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11n_gate2_formal_200ep\weights\best.pt,1,0.511905,0.583333,0.922395,0.894841,0.25,0.36,1.551809,43,2,49,4,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11n_gate2_formal_hn00_200ep,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\research\materials\stage1_formal\gate_hn\yolo11n_gate2_formal_hn00,baseline_reused_and_evaluated
yolo11n,yolo11n-cls,hn02,2,22,yolo11n_gate2_formal_hn02_200ep,43,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11n_gate2_formal_hn02_200ep\weights\epoch_043.pt,1,0.559524,0.583333,0.922566,0.896825,0.32,0.34,1.878178,47,2,49,3,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11n_gate2_formal_hn02_200ep,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\research\materials\stage1_formal\gate_hn\yolo11n_gate2_formal_hn02,evaluation_completed
yolo11n,yolo11n-cls,hn04,4,43,yolo11n_gate2_formal_hn04_200ep,72,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11n_gate2_formal_hn04_200ep\weights\epoch_072.pt,1,0.52381,0.607143,0.926503,0.890873,0.25,0.31,2.031589,44,2,51,4,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11n_gate2_formal_hn04_200ep,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\research\materials\stage1_formal\gate_hn\yolo11n_gate2_formal_hn04,evaluation_completed
yolo11n,yolo11n-cls,hn06,6,65,yolo11n_gate2_formal_hn06_200ep,1,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11n_gate2_formal_hn06_200ep\weights\epoch_001.pt,1,0.535714,0.595238,0.924444,0.892857,0.26,0.3,1.609716,45,2,50,4,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11n_gate2_formal_hn06_200ep,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\research\materials\stage1_formal\gate_hn\yolo11n_gate2_formal_hn06,evaluation_completed
yolo11n,yolo11n-cls,hn08,8,86,yolo11n_gate2_formal_hn08_200ep,100,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11n_gate2_formal_hn08_200ep\weights\epoch_100.pt,1,0.583333,0.583333,0.922737,0.89881,0.27,0.27,2.458732,49,2,49,2,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11n_gate2_formal_hn08_200ep,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\research\materials\stage1_formal\gate_hn\yolo11n_gate2_formal_hn08,evaluation_completed
yolo11n,yolo11n-cls,hn10,10,108,yolo11n_gate2_formal_hn10_200ep,1,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11n_gate2_formal_hn10_200ep\weights\epoch_001.pt,1,0.547619,0.583333,0.922395,0.894841,0.31,0.32,1.548225,46,2,49,4,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11n_gate2_formal_hn10_200ep,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\research\materials\stage1_formal\gate_hn\yolo11n_gate2_formal_hn10,evaluation_completed
yolo11n,yolo11n-cls,hn12,12,130,yolo11n_gate2_formal_hn12_200ep,1,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11n_gate2_formal_hn12_200ep\weights\epoch_001.pt,1,0.547619,0.595238,0.924444,0.892857,0.25,0.3,1.580381,46,2,50,4,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11n_gate2_formal_hn12_200ep,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\research\materials\stage1_formal\gate_hn\yolo11n_gate2_formal_hn12,evaluation_completed
yolo11n,yolo11n-cls,hn14,14,151,yolo11n_gate2_formal_hn14_200ep,87,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11n_gate2_formal_hn14_200ep\weights\epoch_087.pt,1,0.52381,0.535714,0.914474,0.904762,0.22,0.25,2.270267,44,1,45,3,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11n_gate2_formal_hn14_200ep,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\research\materials\stage1_formal\gate_hn\yolo11n_gate2_formal_hn14,evaluation_completed
yolo11n,yolo11n-cls,hn16,16,173,yolo11n_gate2_formal_hn16_200ep,1,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11n_gate2_formal_hn16_200ep\weights\epoch_001.pt,1,0.547619,0.559524,0.918502,0.900794,0.23,0.26,1.484298,46,2,47,3,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11n_gate2_formal_hn16_200ep,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\research\materials\stage1_formal\gate_hn\yolo11n_gate2_formal_hn16,evaluation_completed
yolo11n,yolo11n-cls,hn18,18,194,yolo11n_gate2_formal_hn18_200ep,1,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11n_gate2_formal_hn18_200ep\weights\epoch_001.pt,1,0.571429,0.583333,0.922566,0.896825,0.26,0.28,1.56404,48,2,49,3,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11n_gate2_formal_hn18_200ep,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\research\materials\stage1_formal\gate_hn\yolo11n_gate2_formal_hn18,evaluation_completed
