model,ratio_id,best_epoch,best_checkpoint_path,exported_checkpoint_path,checkpoint_exists,spec_at_r995,spec_at_r990,prec_at_r990,ptr_at_r990
yolo11m-cls,hn00,78,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11m_gate2_formal_200ep\weights\epoch_078.pt,H:\stage1_formal_gate_hn_organized_20260407\pt_files\best_checkpoints\yolo11m_gate2_formal_hn00_best_epoch078.pt,1,0.595238,0.654762,0.934831,0.882937
yolo11m-cls,hn02,51,H:\stage1_formal_gate_hn_organized_20260407\pt_files\raw_checkpoints\m_full_sweep\yolo11m_gate2_formal_hn02_200ep\epoch_051.pt,H:\stage1_formal_gate_hn_organized_20260407\pt_files\best_checkpoints\yolo11m_gate2_formal_hn02_best_epoch051.pt,1,0.642857,0.642857,0.933036,0.888889
yolo11m-cls,hn04,144,H:\stage1_formal_gate_hn_organized_20260407\pt_files\raw_checkpoints\m_full_sweep\yolo11m_gate2_formal_hn04_200ep\epoch_144.pt,H:\stage1_formal_gate_hn_organized_20260407\pt_files\best_checkpoints\yolo11m_gate2_formal_hn04_best_epoch144.pt,1,0.559524,0.607143,0.926503,0.890873
yolo11m-cls,hn06,96,H:\stage1_formal_gate_hn_organized_20260407\pt_files\raw_checkpoints\m_full_sweep\yolo11m_gate2_formal_hn06_200ep\epoch_096.pt,H:\stage1_formal_gate_hn_organized_20260407\pt_files\best_checkpoints\yolo11m_gate2_formal_hn06_best_epoch096.pt,1,0.595238,0.619048,0.928571,0.888889
yolo11m-cls,hn08,1,H:\stage1_formal_gate_hn_organized_20260407\pt_files\raw_checkpoints\m_full_sweep\yolo11m_gate2_formal_hn08_200ep\epoch_001.pt,H:\stage1_formal_gate_hn_organized_20260407\pt_files\best_checkpoints\yolo11m_gate2_formal_hn08_best_epoch001.pt,1,0.583333,0.654762,0.934831,0.882937
yolo11m-cls,hn10,29,H:\stage1_formal_gate_hn_organized_20260407\pt_files\raw_checkpoints\m_full_sweep\yolo11m_gate2_formal_hn10_200ep\epoch_029.pt,H:\stage1_formal_gate_hn_organized_20260407\pt_files\best_checkpoints\yolo11m_gate2_formal_hn10_best_epoch029.pt,1,0.52381,0.535714,0.914474,0.904762
yolo11m-cls,hn12,115,H:\stage1_formal_gate_hn_organized_20260407\pt_files\raw_checkpoints\m_full_sweep\yolo11m_gate2_formal_hn12_200ep\epoch_115.pt,H:\stage1_formal_gate_hn_organized_20260407\pt_files\best_checkpoints\yolo11m_gate2_formal_hn12_best_epoch115.pt,1,0.535714,0.571429,0.920354,0.896825
yolo11m-cls,hn14,74,H:\stage1_formal_gate_hn_organized_20260407\pt_files\raw_checkpoints\m_full_sweep\yolo11m_gate2_formal_hn14_200ep\epoch_074.pt,H:\stage1_formal_gate_hn_organized_20260407\pt_files\best_checkpoints\yolo11m_gate2_formal_hn14_best_epoch074.pt,1,0.642857,0.654762,0.934978,0.884921
yolo11m-cls,hn16,118,H:\stage1_formal_gate_hn_organized_20260407\pt_files\raw_checkpoints\m_full_sweep\yolo11m_gate2_formal_hn16_200ep\epoch_118.pt,H:\stage1_formal_gate_hn_organized_20260407\pt_files\best_checkpoints\yolo11m_gate2_formal_hn16_best_epoch118.pt,1,0.571429,0.571429,0.920705,0.900794
yolo11m-cls,hn18,48,H:\stage1_formal_gate_hn_organized_20260407\pt_files\raw_checkpoints\m_full_sweep\yolo11m_gate2_formal_hn18_200ep\epoch_048.pt,H:\stage1_formal_gate_hn_organized_20260407\pt_files\best_checkpoints\yolo11m_gate2_formal_hn18_best_epoch048.pt,1,0.547619,0.547619,0.916667,0.904762
yolo11m-cls,hn20,1,H:\stage1_formal_gate_hn_organized_20260407\pt_files\raw_checkpoints\m_full_sweep\yolo11m_gate2_formal_hn20_200ep\epoch_001.pt,H:\stage1_formal_gate_hn_organized_20260407\pt_files\best_checkpoints\yolo11m_gate2_formal_hn20_best_epoch001.pt,1,0.559524,0.595238,0.924612,0.894841
yolo11x-cls,hn00,125,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11x_gate2_formal_200ep\weights\epoch_125.pt,H:\stage1_formal_gate_hn_organized_20260407\pt_files\best_checkpoints\yolo11x_gate2_formal_hn00_best_epoch125.pt,1,0.547619,0.595238,0.924444,0.892857
yolo11x-cls,hn02,1,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11x_gate2_formal_hn02_200ep\weights\epoch_001.pt,H:\stage1_formal_gate_hn_organized_20260407\pt_files\best_checkpoints\yolo11x_gate2_formal_hn02_best_epoch001.pt,1,0.52381,0.547619,0.9163,0.900794
