model,ratio_id,ratio_percent,best_epoch,spec_at_r995,spec_at_r990,prec_at_r990,ptr_at_r990,tau_r995,tau_r990,rank_within_model
yolo11n-cls,hn00,0,76,0.511905,0.583333,0.922395,0.894841,0.25,0.36,11
yolo11n-cls,hn02,2,43,0.559524,0.583333,0.922566,0.896825,0.32,0.34,3
yolo11n-cls,hn04,4,72,0.52381,0.607143,0.926503,0.890873,0.25,0.31,9
yolo11n-cls,hn06,6,1,0.535714,0.595238,0.924444,0.892857,0.26,0.3,8
yolo11n-cls,hn08,8,100,0.583333,0.583333,0.922737,0.89881,0.27,0.27,1
yolo11n-cls,hn10,10,1,0.547619,0.583333,0.922395,0.894841,0.31,0.32,5
yolo11n-cls,hn12,12,1,0.547619,0.595238,0.924444,0.892857,0.25,0.3,6
yolo11n-cls,hn14,14,87,0.52381,0.535714,0.914474,0.904762,0.22,0.25,10
yolo11n-cls,hn16,16,1,0.547619,0.559524,0.918502,0.900794,0.23,0.26,7
yolo11n-cls,hn18,18,1,0.571429,0.583333,0.922566,0.896825,0.26,0.28,2
yolo11n-cls,hn20,20,1,0.559524,0.583333,0.922395,0.894841,0.32,0.37,4
yolo11s-cls,hn00,0,77,0.52381,0.535714,0.914286,0.902778,0.25,0.26,8
yolo11s-cls,hn02,2,8,0.511905,0.511905,0.910675,0.910714,0.31,0.31,10
yolo11s-cls,hn04,4,28,0.559524,0.559524,0.918681,0.902778,0.26,0.26,3
yolo11s-cls,hn06,6,54,0.5,0.52381,0.912281,0.904762,0.21,0.23,11
yolo11s-cls,hn08,8,1,0.535714,0.571429,0.920354,0.896825,0.21,0.25,6
yolo11s-cls,hn10,10,36,0.583333,0.595238,0.924612,0.894841,0.41,0.43,2
yolo11s-cls,hn12,12,1,0.52381,0.535714,0.914474,0.904762,0.13,0.14,9
yolo11s-cls,hn14,14,75,0.535714,0.583333,0.922395,0.894841,0.3,0.32,7
yolo11s-cls,hn16,16,1,0.547619,0.571429,0.92053,0.89881,0.18,0.2,4
yolo11s-cls,hn18,18,1,0.547619,0.571429,0.92053,0.89881,0.19,0.21,5
yolo11s-cls,hn20,20,66,0.595238,0.607143,0.926667,0.892857,0.33,0.34,1
yolo11m-cls,hn00,0,78,0.595238,0.654762,0.934831,0.882937,0.28,0.31,3
yolo11m-cls,hn02,2,51,0.642857,0.642857,0.933036,0.888889,0.37,0.37,1
yolo11m-cls,hn04,4,144,0.559524,0.607143,0.926503,0.890873,0.34,0.39,7
yolo11m-cls,hn06,6,96,0.595238,0.619048,0.928571,0.888889,0.32,0.37,4
yolo11m-cls,hn08,8,1,0.583333,0.654762,0.934831,0.882937,0.23,0.28,5
yolo11m-cls,hn10,10,29,0.52381,0.535714,0.914474,0.904762,0.22,0.24,11
yolo11m-cls,hn12,12,115,0.535714,0.571429,0.920354,0.896825,0.3,0.34,10
yolo11m-cls,hn14,14,74,0.642857,0.654762,0.934978,0.884921,0.35,0.36,2
yolo11m-cls,hn16,16,118,0.571429,0.571429,0.920705,0.900794,0.32,0.32,6
yolo11m-cls,hn18,18,48,0.547619,0.547619,0.916667,0.904762,0.25,0.25,9
yolo11m-cls,hn20,20,1,0.559524,0.595238,0.924612,0.894841,0.21,0.23,8
yolo11l-cls,hn00,0,54,0.52381,0.571429,0.92053,0.89881,0.28,0.3,3
yolo11l-cls,hn02,2,64,0.559524,0.583333,0.922395,0.894841,0.22,0.24,1
yolo11l-cls,hn04,4,115,0.535714,0.535714,0.914661,0.906746,0.24,0.24,2
yolo11l-cls,hn06,6,16,0.52381,0.583333,0.922566,0.896825,0.28,0.31,4
yolo11l-cls,hn08,8,14,0.52381,0.571429,0.920354,0.896825,0.27,0.3,5
yolo11l-cls,hn10,10,48,0.52381,0.52381,0.912664,0.90873,0.21,0.21,6
yolo11l-cls,hn12,12,5,0.52381,0.547619,0.9163,0.900794,0.28,0.29,7
yolo11l-cls,hn14,14,86,0.511905,0.571429,0.920354,0.896825,0.28,0.35,9
yolo11l-cls,hn16,16,54,0.5,0.511905,0.91048,0.90873,0.25,0.27,10
yolo11l-cls,hn18,18,1,0.47619,0.511905,0.91048,0.90873,0.16,0.21,11
yolo11l-cls,hn20,20,5,0.52381,0.559524,0.918322,0.89881,0.25,0.31,8
yolo11x-cls,hn00,0,125,0.547619,0.595238,0.924444,0.892857,0.29,0.36,6
yolo11x-cls,hn02,2,59,0.559524,0.583333,0.922395,0.894841,0.32,0.37,4
yolo11x-cls,hn04,4,1,0.535714,0.559524,0.918322,0.89881,0.25,0.31,9
yolo11x-cls,hn06,6,172,0.583333,0.607143,0.926503,0.890873,0.28,0.34,2
yolo11x-cls,hn08,8,107,0.547619,0.547619,0.916667,0.904762,0.36,0.36,7
yolo11x-cls,hn10,10,63,0.642857,0.642857,0.933036,0.888889,0.35,0.35,1
yolo11x-cls,hn12,12,1,0.547619,0.571429,0.92053,0.89881,0.23,0.27,8
yolo11x-cls,hn14,14,117,0.571429,0.595238,0.924444,0.892857,0.29,0.35,3
yolo11x-cls,hn16,16,107,0.511905,0.547619,0.9163,0.900794,0.25,0.31,11
yolo11x-cls,hn18,18,70,0.52381,0.52381,0.912664,0.90873,0.31,0.31,10
yolo11x-cls,hn20,20,1,0.559524,0.559524,0.918681,0.902778,0.2,0.2,5
