model,ratio_id,best_epoch,spec_at_r995,spec_at_r990,prec_at_r990,ptr_at_r990,tau_r995,tau_r990
yolo11n-cls,hn00,76,0.511905,0.583333,0.922395,0.894841,0.25,0.36
yolo11n-cls,hn08,100,0.583333,0.583333,0.922737,0.89881,0.27,0.27
yolo11s-cls,hn00,77,0.52381,0.535714,0.914286,0.902778,0.25,0.26
yolo11s-cls,hn20,66,0.595238,0.607143,0.926667,0.892857,0.33,0.34
yolo11m-cls,hn00,78,0.595238,0.654762,0.934831,0.882937,0.28,0.31
yolo11m-cls,hn02,51,0.642857,0.642857,0.933036,0.888889,0.37,0.37
yolo11l-cls,hn00,54,0.52381,0.571429,0.92053,0.89881,0.28,0.3
yolo11l-cls,hn02,64,0.559524,0.583333,0.922395,0.894841,0.22,0.24
yolo11x-cls,hn00,125,0.547619,0.595238,0.924444,0.892857,0.29,0.36
yolo11x-cls,hn10,63,0.642857,0.642857,0.933036,0.888889,0.35,0.35
