ratio_id,delta_Spec@R99.5_vs_hn00,delta_Spec@R99.0_vs_hn00,delta_Prec@R99.0_vs_hn00,delta_PTR@R99.0_vs_hn00
hn00,0.0,0.0,0.0,0.0
hn02,0.04761899999999997,-0.011904999999999943,-0.001794999999999991,0.005952000000000068
hn04,-0.035714000000000024,-0.04761899999999997,-0.008328000000000002,0.007936000000000054
hn06,0.0,-0.03571399999999991,-0.006259999999999932,0.005952000000000068
hn08,-0.011905000000000054,0.0,0.0,0.0
hn10,-0.07142800000000005,-0.11904799999999993,-0.02035699999999996,0.021824999999999983
hn12,-0.05952400000000002,-0.08333299999999999,-0.014476999999999962,0.013888000000000011
hn14,0.04761899999999997,0.0,0.00014700000000000824,0.0019839999999999858
hn16,-0.02380900000000008,-0.08333299999999999,-0.014125999999999972,0.017857000000000012
hn18,-0.04761900000000008,-0.10714299999999999,-0.018163999999999958,0.021824999999999983
hn20,-0.035714000000000024,-0.05952399999999991,-0.010218999999999978,0.011904000000000026
