ratio_id,spec_at_r995,spec_at_r990,prec_at_r990,ptr_at_r990,best_epoch
hn00,0.595238,0.654762,0.934831,0.882937,78
hn02,0.642857,0.642857,0.933036,0.888889,51
hn04,0.559524,0.607143,0.926503,0.890873,144
hn06,0.595238,0.619048,0.928571,0.888889,96
hn08,0.583333,0.654762,0.934831,0.882937,1
hn10,0.52381,0.535714,0.914474,0.904762,29
hn12,0.535714,0.571429,0.920354,0.896825,115
hn14,0.642857,0.654762,0.934978,0.884921,74
hn16,0.571429,0.571429,0.920705,0.900794,118
hn18,0.547619,0.547619,0.916667,0.904762,48
hn20,0.559524,0.595238,0.924612,0.894841,1
