rank,image_name,image_stub,Predicted Abnormal Score,Heuristic Group
1,00467510.png,00467510,0.978027,其他
2,00329365.png,00329365,0.953613,其他
3,00149587.png,00149587,0.923828,其他
4,00130666.png,00130666,0.904297,其他
5,00160652.png,00160652,0.898926,反光
6,00144495.png,00144495,0.898438,反光
7,00323059.png,00323059,0.89209,其他
8,00505638.png,00505638,0.886719,其他
9,00021678.png,00021678,0.868164,其他
10,00022521.png,00022521,0.854492,其他
11,00292889.png,00292889,0.851074,其他
12,00375607.png,00375607,0.848633,反光
