model,ratio_id,ratio_percent,best_epoch,spec_at_r995,spec_at_r990,prec_at_r990,ptr_at_r990,tau_r995,tau_r990,rank_within_model,exported_checkpoint_path,checkpoint_exists
yolo11m-cls,hn00,0,78,0.595238,0.654762,0.934831,0.882937,0.28,0.31,3,H:\stage1_formal_gate_hn_organized_20260407\pt_files\best_checkpoints\yolo11m_gate2_formal_hn00_best_epoch078.pt,1
yolo11m-cls,hn02,2,51,0.642857,0.642857,0.933036,0.888889,0.37,0.37,2,H:\stage1_formal_gate_hn_organized_20260407\pt_files\best_checkpoints\yolo11m_gate2_formal_hn02_best_epoch051.pt,1
yolo11m-cls,hn04,4,144,0.559524,0.607143,0.926503,0.890873,0.34,0.39,7,H:\stage1_formal_gate_hn_organized_20260407\pt_files\best_checkpoints\yolo11m_gate2_formal_hn04_best_epoch144.pt,1
yolo11m-cls,hn06,6,96,0.595238,0.619048,0.928571,0.888889,0.32,0.37,4,H:\stage1_formal_gate_hn_organized_20260407\pt_files\best_checkpoints\yolo11m_gate2_formal_hn06_best_epoch096.pt,1
yolo11m-cls,hn08,8,1,0.583333,0.654762,0.934831,0.882937,0.23,0.28,5,H:\stage1_formal_gate_hn_organized_20260407\pt_files\best_checkpoints\yolo11m_gate2_formal_hn08_best_epoch001.pt,1
yolo11m-cls,hn10,10,29,0.52381,0.535714,0.914474,0.904762,0.22,0.24,11,H:\stage1_formal_gate_hn_organized_20260407\pt_files\best_checkpoints\yolo11m_gate2_formal_hn10_best_epoch029.pt,1
yolo11m-cls,hn12,12,115,0.535714,0.571429,0.920354,0.896825,0.3,0.34,10,H:\stage1_formal_gate_hn_organized_20260407\pt_files\best_checkpoints\yolo11m_gate2_formal_hn12_best_epoch115.pt,1
yolo11m-cls,hn14,14,74,0.642857,0.654762,0.934978,0.884921,0.35,0.36,1,H:\stage1_formal_gate_hn_organized_20260407\pt_files\best_checkpoints\yolo11m_gate2_formal_hn14_best_epoch074.pt,1
yolo11m-cls,hn16,16,118,0.571429,0.571429,0.920705,0.900794,0.32,0.32,6,H:\stage1_formal_gate_hn_organized_20260407\pt_files\best_checkpoints\yolo11m_gate2_formal_hn16_best_epoch118.pt,1
yolo11m-cls,hn18,18,48,0.547619,0.547619,0.916667,0.904762,0.25,0.25,9,H:\stage1_formal_gate_hn_organized_20260407\pt_files\best_checkpoints\yolo11m_gate2_formal_hn18_best_epoch048.pt,1
yolo11m-cls,hn20,20,1,0.559524,0.595238,0.924612,0.894841,0.21,0.23,8,H:\stage1_formal_gate_hn_organized_20260407\pt_files\best_checkpoints\yolo11m_gate2_formal_hn20_best_epoch001.pt,1
yolo11x-cls,hn00,0,125,0.547619,0.595238,0.924444,0.892857,0.29,0.36,1,H:\stage1_formal_gate_hn_organized_20260407\pt_files\best_checkpoints\yolo11x_gate2_formal_hn00_best_epoch125.pt,1
yolo11x-cls,hn02,2,1,0.52381,0.547619,0.9163,0.900794,0.31,0.33,2,H:\stage1_formal_gate_hn_organized_20260407\pt_files\best_checkpoints\yolo11x_gate2_formal_hn02_best_epoch001.pt,1
