model_tag,model_label,ratio_id,ratio_percent,best_epoch,spec_at_r995,spec_at_r990,prec_at_r990,ptr_at_r990,formal_rank,is_winner
n,yolo11n-cls,hn00,0,76,0.511905,0.583333,0.922395,0.894841,11,False
n,yolo11n-cls,hn02,2,43,0.559524,0.583333,0.922566,0.896825,3,False
n,yolo11n-cls,hn04,4,72,0.52381,0.607143,0.926503,0.890873,9,False
n,yolo11n-cls,hn06,6,1,0.535714,0.595238,0.924444,0.892857,8,False
n,yolo11n-cls,hn08,8,100,0.583333,0.583333,0.922737,0.89881,1,True
n,yolo11n-cls,hn10,10,1,0.547619,0.583333,0.922395,0.894841,6,False
n,yolo11n-cls,hn12,12,1,0.547619,0.595238,0.924444,0.892857,5,False
n,yolo11n-cls,hn14,14,87,0.52381,0.535714,0.914474,0.904762,10,False
n,yolo11n-cls,hn16,16,1,0.547619,0.559524,0.918502,0.900794,7,False
n,yolo11n-cls,hn18,18,1,0.571429,0.583333,0.922566,0.896825,2,False
n,yolo11n-cls,hn20,20,1,0.559524,0.583333,0.922395,0.894841,4,False
s,yolo11s-cls,hn00,0,77,0.52381,0.535714,0.914286,0.902778,9,False
s,yolo11s-cls,hn02,2,8,0.511905,0.511905,0.910675,0.910714,10,False
s,yolo11s-cls,hn04,4,28,0.559524,0.559524,0.918681,0.902778,3,False
s,yolo11s-cls,hn06,6,54,0.5,0.52381,0.912281,0.904762,11,False
s,yolo11s-cls,hn08,8,1,0.535714,0.571429,0.920354,0.896825,7,False
s,yolo11s-cls,hn10,10,36,0.583333,0.595238,0.924612,0.894841,2,False
s,yolo11s-cls,hn12,12,1,0.52381,0.535714,0.914474,0.904762,8,False
s,yolo11s-cls,hn14,14,75,0.535714,0.583333,0.922395,0.894841,6,False
s,yolo11s-cls,hn16,16,1,0.547619,0.571429,0.92053,0.89881,4,False
s,yolo11s-cls,hn18,18,1,0.547619,0.571429,0.92053,0.89881,5,False
s,yolo11s-cls,hn20,20,66,0.595238,0.607143,0.926667,0.892857,1,True
m,yolo11m-cls,hn00,0,78,0.595238,0.654762,0.934831,0.882937,3,False
m,yolo11m-cls,hn02,2,51,0.642857,0.642857,0.933036,0.888889,2,False
m,yolo11m-cls,hn04,4,144,0.559524,0.607143,0.926503,0.890873,7,False
m,yolo11m-cls,hn06,6,96,0.595238,0.619048,0.928571,0.888889,4,False
m,yolo11m-cls,hn08,8,1,0.583333,0.654762,0.934831,0.882937,5,False
m,yolo11m-cls,hn10,10,29,0.52381,0.535714,0.914474,0.904762,11,False
m,yolo11m-cls,hn12,12,115,0.535714,0.571429,0.920354,0.896825,10,False
m,yolo11m-cls,hn14,14,74,0.642857,0.654762,0.934978,0.884921,1,True
m,yolo11m-cls,hn16,16,118,0.571429,0.571429,0.920705,0.900794,6,False
m,yolo11m-cls,hn18,18,48,0.547619,0.547619,0.916667,0.904762,9,False
m,yolo11m-cls,hn20,20,1,0.559524,0.595238,0.924612,0.894841,8,False
