ratio_id,epoch,PTR@R99.0
hn00,1,0.946429
hn00,2,0.984127
hn00,3,0.988095
hn00,4,0.968254
hn00,5,0.954365
hn00,6,0.938492
hn00,7,0.928571
hn00,8,0.97619
hn00,9,0.974206
hn00,10,0.940476
hn00,11,0.952381
hn00,12,0.948413
hn00,13,0.958333
hn00,14,0.948413
hn00,15,0.936508
hn00,16,0.952381
hn00,17,0.930556
hn00,18,0.930556
hn00,19,0.946429
hn00,20,0.952381
hn00,21,0.936508
hn00,22,0.922619
hn00,23,0.928571
hn00,24,0.926587
hn00,25,0.916667
hn00,26,0.918651
hn00,27,0.928571
hn00,28,0.918651
hn00,29,0.914683
hn00,30,0.922619
hn00,31,0.920635
hn00,32,0.93254
hn00,33,0.938492
hn00,34,0.93254
hn00,35,0.93254
hn00,36,0.928571
hn00,37,0.896825
hn00,38,0.93254
hn00,39,0.936508
hn00,40,0.924603
hn00,41,0.926587
hn00,42,0.914683
hn00,43,0.914683
hn00,44,0.920635
hn00,45,0.928571
hn00,46,0.914683
hn00,47,0.922619
hn00,48,0.926587
hn00,49,0.928571
hn00,50,0.920635
hn00,51,0.93254
hn00,52,0.906746
hn00,53,0.906746
hn00,54,0.904762
hn00,55,0.904762
hn00,56,0.920635
hn00,57,0.914683
hn00,58,0.912698
hn00,59,0.920635
hn00,60,0.896825
hn00,61,0.918651
hn00,62,0.90873
hn00,63,0.910714
hn00,64,0.910714
hn00,65,0.922619
hn00,66,0.906746
hn00,67,0.914683
hn00,68,0.924603
hn00,69,0.914683
hn00,70,0.89881
hn00,71,0.916667
hn00,72,0.918651
hn00,73,0.912698
hn00,74,0.894841
hn00,75,0.910714
hn00,76,0.906746
hn00,77,0.888889
hn00,78,0.882937
hn00,79,0.900794
hn00,80,0.906746
hn00,81,0.916667
hn00,82,0.904762
hn00,83,0.904762
hn00,84,0.89881
hn00,85,0.90873
hn00,86,0.902778
hn00,87,0.902778
hn00,88,0.906746
hn00,89,0.89881
hn00,90,0.89881
hn00,91,0.906746
hn00,92,0.888889
hn00,93,0.896825
hn00,94,0.882937
hn00,95,0.894841
hn00,96,0.924603
hn00,97,0.892857
hn00,98,0.904762
hn00,99,0.910714
hn00,100,0.914683
hn00,101,0.894841
hn00,102,0.894841
hn00,103,0.90873
hn00,104,0.900794
hn00,105,0.896825
hn00,106,0.882937
hn00,107,0.902778
hn00,108,0.900794
hn00,109,0.906746
hn00,110,0.906746
hn00,111,0.904762
hn00,112,0.900794
hn00,113,0.894841
hn00,114,0.890873
hn00,115,0.890873
hn00,116,0.888889
hn00,117,0.894841
hn00,118,0.892857
hn00,119,0.890873
hn00,120,0.890873
hn00,121,0.882937
hn00,122,0.880952
hn00,123,0.888889
hn00,124,0.912698
hn00,125,0.916667
hn00,126,0.902778
hn00,127,0.894841
hn00,128,0.896825
hn00,129,0.900794
hn00,130,0.89881
hn00,131,0.89881
hn00,132,0.89881
hn00,133,0.896825
hn00,134,0.900794
hn00,135,0.902778
hn00,136,0.904762
hn00,137,0.902778
hn00,138,0.902778
hn00,139,0.904762
hn00,140,0.902778
hn00,141,0.910714
hn00,142,0.910714
hn00,143,0.906746
hn00,144,0.90873
hn00,145,0.910714
hn00,146,0.896825
hn00,147,0.892857
hn00,148,0.892857
hn00,149,0.892857
hn00,150,0.892857
hn00,151,0.892857
hn00,152,0.890873
hn00,153,0.890873
hn00,154,0.892857
hn00,155,0.892857
hn00,156,0.888889
hn00,157,0.892857
hn00,158,0.892857
hn00,159,0.892857
hn00,160,0.892857
hn00,161,0.892857
hn00,162,0.890873
hn00,163,0.888889
hn00,164,0.888889
hn00,165,0.888889
hn00,166,0.890873
hn00,167,0.890873
hn00,168,0.890873
hn00,169,0.892857
hn00,170,0.890873
hn00,171,0.894841
hn00,172,0.894841
hn00,173,0.894841
hn00,174,0.894841
hn00,175,0.902778
hn00,176,0.900794
hn00,177,0.896825
hn00,178,0.896825
hn00,179,0.900794
hn00,180,0.900794
hn00,181,0.900794
hn00,182,0.900794
hn00,183,0.900794
hn00,184,0.900794
hn00,185,0.900794
hn00,186,0.900794
hn00,187,0.896825
hn00,188,0.896825
hn00,189,0.892857
hn00,190,0.894841
hn00,191,0.894841
hn00,192,0.896825
hn00,193,0.896825
hn00,194,0.89881
hn00,195,0.89881
hn00,196,0.89881
hn00,197,0.89881
hn00,198,0.89881
hn00,199,0.89881
hn00,200,0.89881
hn14,1,0.904762
hn14,2,0.912698
hn14,3,0.912698
hn14,4,0.940476
hn14,5,0.910714
hn14,6,0.918651
hn14,7,0.93254
hn14,8,0.928571
hn14,9,0.938492
hn14,10,0.926587
hn14,11,0.938492
hn14,12,0.900794
hn14,13,0.978175
hn14,14,0.914683
hn14,15,0.938492
hn14,16,0.930556
hn14,17,0.930556
hn14,18,0.948413
hn14,19,0.894841
hn14,20,0.93254
hn14,21,0.926587
hn14,22,0.906746
hn14,23,0.910714
hn14,24,0.94246
hn14,25,0.928571
hn14,26,0.940476
hn14,27,0.928571
hn14,28,0.926587
hn14,29,0.912698
hn14,30,0.928571
hn14,31,0.884921
hn14,32,0.926587
hn14,33,0.902778
hn14,34,0.922619
hn14,35,0.920635
hn14,36,0.928571
hn14,37,0.922619
hn14,38,0.920635
hn14,39,0.900794
hn14,40,0.910714
hn14,41,0.916667
hn14,42,0.912698
hn14,43,0.906746
hn14,44,0.890873
hn14,45,0.900794
hn14,46,0.914683
hn14,47,0.920635
hn14,48,0.914683
hn14,49,0.916667
hn14,50,0.93254
hn14,51,0.910714
hn14,52,0.90873
hn14,53,0.904762
hn14,54,0.918651
hn14,55,0.902778
hn14,56,0.922619
hn14,57,0.914683
hn14,58,0.904762
hn14,59,0.906746
hn14,60,0.926587
hn14,61,0.926587
hn14,62,0.912698
hn14,63,0.918651
hn14,64,0.892857
hn14,65,0.912698
hn14,66,0.912698
hn14,67,0.912698
hn14,68,0.904762
hn14,69,0.90873
hn14,70,0.916667
hn14,71,0.90873
hn14,72,0.902778
hn14,73,0.910714
hn14,74,0.884921
hn14,75,0.900794
hn14,76,0.894841
hn14,77,0.892857
hn14,78,0.922619
hn14,79,0.918651
hn14,80,0.918651
hn14,81,0.902778
hn14,82,0.906746
hn14,83,0.912698
hn14,84,0.920635
hn14,85,0.910714
hn14,86,0.900794
hn14,87,0.902778
hn14,88,0.904762
hn14,89,0.896825
hn14,90,0.914683
hn14,91,0.928571
hn14,92,0.914683
hn14,93,0.920635
hn14,94,0.910714
hn14,95,0.906746
hn14,96,0.896825
hn14,97,0.918651
hn14,98,0.906746
hn14,99,0.910714
hn14,100,0.89881
hn14,101,0.906746
hn14,102,0.910714
hn14,103,0.910714
hn14,104,0.888889
hn14,105,0.888889
hn14,106,0.890873
hn14,107,0.880952
hn14,108,0.880952
hn14,109,0.89881
hn14,110,0.892857
hn14,111,0.900794
hn14,112,0.902778
hn14,113,0.894841
hn14,114,0.89881
hn14,115,0.892857
hn14,116,0.892857
hn14,117,0.892857
hn14,118,0.896825
hn14,119,0.89881
hn14,120,0.896825
hn14,121,0.89881
hn14,122,0.902778
hn14,123,0.900794
hn14,124,0.89881
hn14,125,0.902778
hn14,126,0.900794
hn14,127,0.902778
hn14,128,0.906746
hn14,129,0.902778
hn14,130,0.894841
hn14,131,0.890873
hn14,132,0.890873
hn14,133,0.892857
hn14,134,0.896825
hn14,135,0.896825
hn14,136,0.896825
hn14,137,0.900794
hn14,138,0.902778
hn14,139,0.89881
hn14,140,0.900794
hn14,141,0.910714
hn14,142,0.916667
hn14,143,0.916667
hn14,144,0.920635
hn14,145,0.914683
hn14,146,0.914683
hn14,147,0.910714
hn14,148,0.90873
hn14,149,0.916667
hn14,150,0.916667
hn14,151,0.916667
hn14,152,0.912698
hn14,153,0.914683
hn14,154,0.910714
hn14,155,0.906746
hn14,156,0.906746
hn14,157,0.906746
hn14,158,0.910714
hn14,159,0.912698
hn14,160,0.912698
hn14,161,0.912698
hn14,162,0.910714
hn14,163,0.910714
hn14,164,0.910714
hn14,165,0.910714
hn14,166,0.912698
hn14,167,0.912698
hn14,168,0.914683
hn14,169,0.914683
hn14,170,0.914683
hn14,171,0.918651
hn14,172,0.918651
hn14,173,0.918651
hn14,174,0.918651
hn14,175,0.916667
hn14,176,0.916667
hn14,177,0.916667
hn14,178,0.922619
hn14,179,0.922619
hn14,180,0.918651
hn14,181,0.918651
hn14,182,0.918651
hn14,183,0.918651
hn14,184,0.920635
hn14,185,0.920635
hn14,186,0.920635
hn14,187,0.920635
hn14,188,0.926587
hn14,189,0.924603
hn14,190,0.926587
hn14,191,0.930556
hn14,192,0.928571
hn14,193,0.928571
hn14,194,0.928571
hn14,195,0.928571
hn14,196,0.928571
hn14,197,0.928571
hn14,198,0.928571
hn14,199,0.928571
hn14,200,0.928571
hn20,1,0.894841
hn20,2,0.89881
hn20,3,0.910714
hn20,4,0.912698
hn20,5,0.934524
hn20,6,0.916667
hn20,7,0.914683
hn20,8,0.916667
hn20,9,0.926587
hn20,10,0.938492
hn20,11,0.928571
hn20,12,0.940476
hn20,13,0.912698
hn20,14,0.928571
hn20,15,0.930556
hn20,16,0.924603
hn20,17,0.916667
hn20,18,0.912698
hn20,19,0.956349
hn20,20,0.916667
hn20,21,0.920635
hn20,22,0.940476
hn20,23,0.94246
hn20,24,0.936508
hn20,25,0.928571
hn20,26,0.90873
hn20,27,0.928571
hn20,28,0.940476
hn20,29,0.914683
hn20,30,0.902778
hn20,31,0.912698
hn20,32,0.916667
hn20,33,0.914683
hn20,34,0.916667
hn20,35,0.90873
hn20,36,0.90873
hn20,37,0.930556
hn20,38,0.90873
hn20,39,0.918651
hn20,40,0.928571
hn20,41,0.904762
hn20,42,0.924603
hn20,43,0.928571
hn20,44,0.89881
hn20,45,0.940476
hn20,46,0.93254
hn20,47,0.922619
hn20,48,0.924603
hn20,49,0.904762
hn20,50,0.922619
hn20,51,0.904762
hn20,52,0.920635
hn20,53,0.914683
hn20,54,0.922619
hn20,55,0.920635
hn20,56,0.936508
hn20,57,0.920635
hn20,58,0.906746
hn20,59,0.912698
hn20,60,0.924603
hn20,61,0.920635
hn20,62,0.938492
hn20,63,0.904762
hn20,64,0.918651
hn20,65,0.918651
hn20,66,0.906746
hn20,67,0.914683
hn20,68,0.910714
hn20,69,0.910714
hn20,70,0.910714
hn20,71,0.922619
hn20,72,0.928571
hn20,73,0.900794
hn20,74,0.920635
hn20,75,0.924603
hn20,76,0.916667
hn20,77,0.924603
hn20,78,0.910714
hn20,79,0.914683
hn20,80,0.906746
hn20,81,0.89881
hn20,82,0.90873
hn20,83,0.918651
hn20,84,0.904762
hn20,85,0.904762
hn20,86,0.90873
hn20,87,0.902778
hn20,88,0.900794
hn20,89,0.910714
hn20,90,0.910714
hn20,91,0.910714
hn20,92,0.904762
hn20,93,0.910714
hn20,94,0.904762
hn20,95,0.896825
hn20,96,0.902778
hn20,97,0.894841
hn20,98,0.896825
hn20,99,0.914683
hn20,100,0.914683
hn20,101,0.916667
hn20,102,0.902778
hn20,103,0.89881
hn20,104,0.904762
hn20,105,0.900794
hn20,106,0.902778
hn20,107,0.900794
hn20,108,0.910714
hn20,109,0.902778
hn20,110,0.90873
hn20,111,0.904762
hn20,112,0.900794
hn20,113,0.904762
hn20,114,0.90873
hn20,115,0.910714
hn20,116,0.89881
hn20,117,0.904762
hn20,118,0.900794
hn20,119,0.902778
hn20,120,0.904762
hn20,121,0.904762
hn20,122,0.900794
hn20,123,0.894841
hn20,124,0.894841
hn20,125,0.892857
hn20,126,0.894841
hn20,127,0.900794
hn20,128,0.904762
hn20,129,0.900794
hn20,130,0.896825
hn20,131,0.900794
hn20,132,0.90873
hn20,133,0.906746
hn20,134,0.912698
hn20,135,0.90873
hn20,136,0.902778
hn20,137,0.894841
hn20,138,0.894841
hn20,139,0.894841
hn20,140,0.896825
hn20,141,0.89881
hn20,142,0.900794
hn20,143,0.900794
hn20,144,0.89881
hn20,145,0.900794
hn20,146,0.89881
hn20,147,0.896825
hn20,148,0.890873
hn20,149,0.890873
hn20,150,0.894841
hn20,151,0.894841
hn20,152,0.894841
hn20,153,0.892857
hn20,154,0.890873
hn20,155,0.890873
hn20,156,0.886905
hn20,157,0.884921
hn20,158,0.884921
hn20,159,0.886905
hn20,160,0.888889
hn20,161,0.888889
hn20,162,0.888889
hn20,163,0.888889
hn20,164,0.892857
hn20,165,0.892857
