ratio_id,ratio_percent,spec_at_r995,spec_at_r990,prec_at_r990,ptr_at_r990,formal_rank
hn00,0,0.511905,0.583333,0.922395,0.894841,11
hn02,2,0.559524,0.583333,0.922566,0.896825,3
hn04,4,0.52381,0.607143,0.926503,0.890873,9
hn06,6,0.535714,0.595238,0.924444,0.892857,8
hn08,8,0.583333,0.583333,0.922737,0.89881,1
hn10,10,0.547619,0.583333,0.922395,0.894841,6
hn12,12,0.547619,0.595238,0.924444,0.892857,5
hn14,14,0.52381,0.535714,0.914474,0.904762,10
hn16,16,0.547619,0.559524,0.918502,0.900794,7
hn18,18,0.571429,0.583333,0.922566,0.896825,2
hn20,20,0.559524,0.583333,0.922395,0.894841,4
