hn_ratio,best_epoch,delta_Spec@R99.5,delta_Spec@R99.0,delta_Prec@R99.0,delta_PTR@R99.0,delta_best_epoch_vs_hn00
hn00,78,0.0,0.0,0.0,0.0,0
hn02,51,0.04761899999999997,-0.011904999999999943,-0.001794999999999991,0.005952000000000068,-27
hn04,144,-0.035714000000000024,-0.04761899999999997,-0.008328000000000002,0.007936000000000054,66
hn06,96,0.0,-0.03571399999999991,-0.006259999999999932,0.005952000000000068,18
hn08,1,-0.011905000000000054,0.0,0.0,0.0,-77
hn10,29,-0.07142800000000005,-0.11904799999999993,-0.02035699999999996,0.021824999999999983,-49
hn12,115,-0.05952400000000002,-0.08333299999999999,-0.014476999999999962,0.013888000000000011,37
hn14,74,0.04761899999999997,0.0,0.00014700000000000824,0.0019839999999999858,-4
hn16,118,-0.02380900000000008,-0.08333299999999999,-0.014125999999999972,0.017857000000000012,40
hn18,48,-0.04761900000000008,-0.10714299999999999,-0.018163999999999958,0.021824999999999983,-30
hn20,1,-0.035714000000000024,-0.05952399999999991,-0.010218999999999978,0.011904000000000026,-77
