model,hn_ratio,best_epoch,Spec@R99.5,Spec@R99.0,Prec@R99.0,PTR@R99.0,formal_rank,delta_Spec@R99.5_vs_hn00,delta_Spec@R99.0_vs_hn00,delta_Prec@R99.0_vs_hn00,delta_PTR@R99.0_vs_hn00,winner_flag,PTR_improved_flag
yolo11m-cls,hn00,78,0.595238,0.654762,0.934831,0.882937,3,0.0,0.0,0.0,0.0,False,False
yolo11m-cls,hn02,51,0.642857,0.642857,0.933036,0.888889,2,0.04761899999999997,-0.011904999999999943,-0.001794999999999991,0.005952000000000068,False,False
yolo11m-cls,hn04,144,0.559524,0.607143,0.926503,0.890873,7,-0.035714000000000024,-0.04761899999999997,-0.008328000000000002,0.007936000000000054,False,False
yolo11m-cls,hn06,96,0.595238,0.619048,0.928571,0.888889,4,0.0,-0.03571399999999991,-0.006259999999999932,0.005952000000000068,False,False
yolo11m-cls,hn08,1,0.583333,0.654762,0.934831,0.882937,5,-0.011905000000000054,0.0,0.0,0.0,False,False
yolo11m-cls,hn10,29,0.52381,0.535714,0.914474,0.904762,11,-0.07142800000000005,-0.11904799999999993,-0.02035699999999996,0.021824999999999983,False,False
yolo11m-cls,hn12,115,0.535714,0.571429,0.920354,0.896825,10,-0.05952400000000002,-0.08333299999999999,-0.014476999999999962,0.013888000000000011,False,False
yolo11m-cls,hn14,74,0.642857,0.654762,0.934978,0.884921,1,0.04761899999999997,0.0,0.00014700000000000824,0.0019839999999999858,True,False
yolo11m-cls,hn16,118,0.571429,0.571429,0.920705,0.900794,6,-0.02380900000000008,-0.08333299999999999,-0.014125999999999972,0.017857000000000012,False,False
yolo11m-cls,hn18,48,0.547619,0.547619,0.916667,0.904762,9,-0.04761900000000008,-0.10714299999999999,-0.018163999999999958,0.021824999999999983,False,False
yolo11m-cls,hn20,1,0.559524,0.595238,0.924612,0.894841,8,-0.035714000000000024,-0.05952399999999991,-0.010218999999999978,0.011904000000000026,False,False
