Ratio,Best Epoch,Spec@R99.5,Spec@R99.0,Prec@R99.0,PTR@R99.0,Rank,Delta Spec@R99.5,Delta Spec@R99.0,Delta Prec@R99.0,Delta PTR@R99.0
hn00,76,0.511905,0.583333,0.922395,0.894841,11,0.0,0.0,0.0,0.0
hn02,43,0.559524,0.583333,0.922566,0.896825,3,0.04761899999999997,0.0,0.00017100000000003224,0.0019839999999999858
hn04,72,0.52381,0.607143,0.926503,0.890873,9,0.011904999999999943,0.023809999999999998,0.0041080000000000005,-0.0039679999999999715
hn06,1,0.535714,0.595238,0.924444,0.892857,8,0.02380899999999997,0.011905000000000054,0.0020490000000000785,-0.0019839999999999858
hn08,100,0.583333,0.583333,0.922737,0.89881,1,0.07142799999999994,0.0,0.0003420000000000645,0.003969
hn10,1,0.547619,0.583333,0.922395,0.894841,6,0.03571399999999991,0.0,0.0,0.0
hn12,1,0.547619,0.595238,0.924444,0.892857,5,0.03571399999999991,0.011905000000000054,0.0020490000000000785,-0.0019839999999999858
hn14,87,0.52381,0.535714,0.914474,0.904762,10,0.011904999999999943,-0.04761899999999997,-0.007920999999999956,0.009920999999999958
hn16,1,0.547619,0.559524,0.918502,0.900794,7,0.03571399999999991,-0.02380899999999997,-0.0038929999999999243,0.005952999999999986
hn18,1,0.571429,0.583333,0.922566,0.896825,2,0.05952399999999991,0.0,0.00017100000000003224,0.0019839999999999858
hn20,1,0.559524,0.583333,0.922395,0.894841,4,0.04761899999999997,0.0,0.0,0.0
