model,ratio_id,ratio_percent,dataset_name,action,split,class_name,selected_rank,source_rel_path,target_rel_path,p_abnormal,top1_label,heuristic_group
yolo11x,hn02,2,yolo11x_gate2_formal_hn02,duplicate_hn,train,Normal,1,train/Normal/00323059.png,train/Normal/00323059_hn1.png,0.203369,Normal,其他
yolo11x,hn02,2,yolo11x_gate2_formal_hn02,duplicate_hn,train,Normal,2,train/Normal/00022588.png,train/Normal/00022588_hn1.png,0.09491,Normal,水膜
yolo11x,hn02,2,yolo11x_gate2_formal_hn02,duplicate_hn,train,Normal,3,train/Normal/00021678.png,train/Normal/00021678_hn1.png,0.086914,Normal,其他
yolo11x,hn02,2,yolo11x_gate2_formal_hn02,duplicate_hn,train,Normal,4,train/Normal/00394189.png,train/Normal/00394189_hn1.png,0.081787,Normal,其他
yolo11x,hn02,2,yolo11x_gate2_formal_hn02,duplicate_hn,train,Normal,5,train/Normal/00350271.png,train/Normal/00350271_hn1.png,0.053406,Normal,反光
yolo11x,hn02,2,yolo11x_gate2_formal_hn02,duplicate_hn,train,Normal,6,train/Normal/00449921.png,train/Normal/00449921_hn1.png,0.040283,Normal,污渍
yolo11x,hn02,2,yolo11x_gate2_formal_hn02,duplicate_hn,train,Normal,7,train/Normal/00491918.png,train/Normal/00491918_hn1.png,0.039307,Normal,其他
yolo11x,hn02,2,yolo11x_gate2_formal_hn02,duplicate_hn,train,Normal,8,train/Normal/00335362.png,train/Normal/00335362_hn1.png,0.034821,Normal,污渍
yolo11x,hn02,2,yolo11x_gate2_formal_hn02,duplicate_hn,train,Normal,9,train/Normal/00314262.png,train/Normal/00314262_hn1.png,0.032196,Normal,其他
yolo11x,hn02,2,yolo11x_gate2_formal_hn02,duplicate_hn,train,Normal,10,train/Normal/00464987.png,train/Normal/00464987_hn1.png,0.031799,Normal,其他
yolo11x,hn02,2,yolo11x_gate2_formal_hn02,duplicate_hn,train,Normal,11,train/Normal/00313867.png,train/Normal/00313867_hn1.png,0.028687,Normal,其他
yolo11x,hn02,2,yolo11x_gate2_formal_hn02,duplicate_hn,train,Normal,12,train/Normal/00462963.png,train/Normal/00462963_hn1.png,0.023331,Normal,反光
yolo11x,hn02,2,yolo11x_gate2_formal_hn02,duplicate_hn,train,Normal,13,train/Normal/00317919.png,train/Normal/00317919_hn1.png,0.022919,Normal,污渍
yolo11x,hn02,2,yolo11x_gate2_formal_hn02,duplicate_hn,train,Normal,14,train/Normal/00415850.png,train/Normal/00415850_hn1.png,0.022156,Normal,阴影
yolo11x,hn02,2,yolo11x_gate2_formal_hn02,duplicate_hn,train,Normal,15,train/Normal/00345686.png,train/Normal/00345686_hn1.png,0.02121,Normal,其他
yolo11x,hn02,2,yolo11x_gate2_formal_hn02,duplicate_hn,train,Normal,16,train/Normal/00342738.png,train/Normal/00342738_hn1.png,0.020569,Normal,其他
yolo11x,hn02,2,yolo11x_gate2_formal_hn02,duplicate_hn,train,Normal,17,train/Normal/00347487.png,train/Normal/00347487_hn1.png,0.020416,Normal,污渍
yolo11x,hn02,2,yolo11x_gate2_formal_hn02,duplicate_hn,train,Normal,18,train/Normal/00467510.png,train/Normal/00467510_hn1.png,0.015839,Normal,其他
yolo11x,hn02,2,yolo11x_gate2_formal_hn02,duplicate_hn,train,Normal,19,train/Normal/00282092.png,train/Normal/00282092_hn1.png,0.014557,Normal,污渍
yolo11x,hn02,2,yolo11x_gate2_formal_hn02,duplicate_hn,train,Normal,20,train/Normal/00335278.png,train/Normal/00335278_hn1.png,0.014114,Normal,其他
yolo11x,hn02,2,yolo11x_gate2_formal_hn02,duplicate_hn,train,Normal,21,train/Normal/00169695.png,train/Normal/00169695_hn1.png,0.01265,Normal,污渍
yolo11x,hn02,2,yolo11x_gate2_formal_hn02,duplicate_hn,train,Normal,22,train/Normal/00485135.png,train/Normal/00485135_hn1.png,0.012337,Normal,污渍
