model,ratio_id,ratio_percent,source_dataset_root,duplication_count,duplication_csv_path,expected_total_image_count,expected_train_normal_count,expected_val_normal_count
yolo11m,hn00,0,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\sewerml_gate2_train7200,0,research/results/stage1_formal/gate_hn_rebuild/duplication_csvs/m/yolo11m_gate2_formal_hn00_duplications_only.csv,7200,1080,120
yolo11m,hn02,2,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\sewerml_gate2_train7200,22,research/results/stage1_formal/gate_hn_rebuild/duplication_csvs/m/yolo11m_gate2_formal_hn02_duplications_only.csv,7222,1102,120
yolo11m,hn04,4,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\sewerml_gate2_train7200,43,research/results/stage1_formal/gate_hn_rebuild/duplication_csvs/m/yolo11m_gate2_formal_hn04_duplications_only.csv,7243,1123,120
yolo11m,hn06,6,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\sewerml_gate2_train7200,65,research/results/stage1_formal/gate_hn_rebuild/duplication_csvs/m/yolo11m_gate2_formal_hn06_duplications_only.csv,7265,1145,120
yolo11m,hn08,8,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\sewerml_gate2_train7200,86,research/results/stage1_formal/gate_hn_rebuild/duplication_csvs/m/yolo11m_gate2_formal_hn08_duplications_only.csv,7286,1166,120
yolo11m,hn10,10,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\sewerml_gate2_train7200,108,research/results/stage1_formal/gate_hn_rebuild/duplication_csvs/m/yolo11m_gate2_formal_hn10_duplications_only.csv,7308,1188,120
yolo11m,hn12,12,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\sewerml_gate2_train7200,130,research/results/stage1_formal/gate_hn_rebuild/duplication_csvs/m/yolo11m_gate2_formal_hn12_duplications_only.csv,7330,1210,120
yolo11m,hn14,14,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\sewerml_gate2_train7200,151,research/results/stage1_formal/gate_hn_rebuild/duplication_csvs/m/yolo11m_gate2_formal_hn14_duplications_only.csv,7351,1231,120
yolo11m,hn16,16,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\sewerml_gate2_train7200,173,research/results/stage1_formal/gate_hn_rebuild/duplication_csvs/m/yolo11m_gate2_formal_hn16_duplications_only.csv,7373,1253,120
yolo11m,hn18,18,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\sewerml_gate2_train7200,194,research/results/stage1_formal/gate_hn_rebuild/duplication_csvs/m/yolo11m_gate2_formal_hn18_duplications_only.csv,7394,1274,120
yolo11m,hn20,20,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\sewerml_gate2_train7200,216,research/results/stage1_formal/gate_hn_rebuild/duplication_csvs/m/yolo11m_gate2_formal_hn20_duplications_only.csv,7416,1296,120
yolo11x,hn00,0,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\sewerml_gate2_train7200,0,research/results/stage1_formal/gate_hn_rebuild/duplication_csvs/x/yolo11x_gate2_formal_hn00_duplications_only.csv,7200,1080,120
yolo11x,hn02,2,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\sewerml_gate2_train7200,22,research/results/stage1_formal/gate_hn_rebuild/duplication_csvs/x/yolo11x_gate2_formal_hn02_duplications_only.csv,7222,1102,120
