ratio_id,ratio_percent,backflow_count,model,run_name,best_epoch,spec_at_r995,spec_at_r990,prec_at_r990,ptr_at_r990,tau_r995,tau_r990,temperature_T,tn_at_r995,fn_at_r995,tn_at_r990,fn_at_r990
hn00,0,0,yolo11x-cls,yolo11x_gate2_formal_200ep,125,0.547619,0.595238,0.924444,0.892857,0.29,0.36,2.985442,46,2,50,4
hn02,2,22,yolo11x-cls,yolo11x_gate2_formal_hn02_200ep,59,0.559524,0.583333,0.922395,0.894841,0.32,0.37,2.932965,47,2,49,4
hn04,4,43,yolo11x-cls,yolo11x_gate2_formal_hn04_200ep,1,0.535714,0.559524,0.918322,0.89881,0.25,0.31,2.99355,45,2,47,4
hn06,6,65,yolo11x-cls,yolo11x_gate2_formal_hn06_200ep,172,0.583333,0.607143,0.926503,0.890873,0.28,0.34,3.755296,49,2,51,4
hn08,8,86,yolo11x-cls,yolo11x_gate2_formal_hn08_200ep,107,0.547619,0.547619,0.916667,0.904762,0.36,0.36,3.361042,46,2,46,2
hn10,10,108,yolo11x-cls,yolo11x_gate2_formal_hn10_200ep,63,0.642857,0.642857,0.933036,0.888889,0.35,0.35,2.709799,54,2,54,2
hn12,12,130,yolo11x-cls,yolo11x_gate2_formal_hn12_200ep,1,0.547619,0.571429,0.92053,0.89881,0.23,0.27,2.825327,46,2,48,3
hn14,14,151,yolo11x-cls,yolo11x_gate2_formal_hn14_200ep,117,0.571429,0.595238,0.924444,0.892857,0.29,0.35,3.463818,48,2,50,4
hn16,16,173,yolo11x-cls,yolo11x_gate2_formal_hn16_200ep,107,0.511905,0.547619,0.9163,0.900794,0.25,0.31,3.151668,43,2,46,4
hn18,18,194,yolo11x-cls,yolo11x_gate2_formal_hn18_200ep,70,0.52381,0.52381,0.912664,0.90873,0.31,0.31,2.896628,44,2,44,2
hn20,20,216,yolo11x-cls,yolo11x_gate2_formal_hn20_200ep,1,0.559524,0.559524,0.918681,0.902778,0.2,0.2,2.780638,47,2,47,2
