epoch,a1_spec_at_r995,a4_spec_at_r995,delta_spec_at_r995
1,0.511905,0.5,-0.011905000000000054
2,0.428571,0.47619,0.04761900000000002
3,0.357143,0.22619,-0.13095299999999999
4,0.22619,0.107143,-0.119047
5,0.416667,0.392857,-0.023809999999999998
6,0.428571,0.333333,-0.09523799999999999
7,0.261905,0.309524,0.04761900000000002
8,0.333333,0.392857,0.05952400000000002
9,0.297619,0.369048,0.07142899999999996
10,0.27381,0.416667,0.142857
11,0.261905,0.369048,0.10714299999999999
12,0.5,0.333333,-0.166667
13,0.119048,0.190476,0.071428
14,0.22619,0.297619,0.07142900000000002
15,0.27381,0.428571,0.15476099999999998
16,0.345238,0.22619,-0.11904799999999999
17,0.357143,0.25,-0.10714299999999999
18,0.238095,0.321429,0.08333400000000002
19,0.511905,0.440476,-0.07142900000000008
20,0.309524,0.380952,0.07142799999999999
21,0.321429,0.321429,0.0
22,0.392857,0.261905,-0.130952
23,0.392857,0.535714,0.142857
24,0.25,0.297619,0.04761900000000002
25,0.345238,0.285714,-0.059523999999999966
26,0.25,0.297619,0.04761900000000002
27,0.309524,0.309524,0.0
28,0.357143,0.404762,0.04761900000000002
29,0.25,0.071429,-0.17857099999999998
30,0.357143,0.392857,0.035714000000000024
31,0.583333,0.345238,-0.238095
32,0.357143,0.285714,-0.07142899999999996
33,0.380952,0.333333,-0.04761900000000002
34,0.440476,0.27381,-0.16666599999999998
35,0.452381,0.333333,-0.11904799999999999
36,0.27381,0.440476,0.16666599999999998
37,0.392857,0.404762,0.011904999999999999
38,0.202381,0.440476,0.23809499999999997
39,0.452381,0.392857,-0.059523999999999966
40,0.47619,0.22619,-0.25
41,0.416667,0.309524,-0.10714299999999999
42,0.428571,0.22619,-0.20238099999999998
43,0.452381,0.321429,-0.13095199999999996
44,0.511905,0.321429,-0.19047600000000003
45,0.511905,0.297619,-0.21428600000000003
46,0.333333,0.357143,0.023809999999999998
47,0.333333,0.357143,0.023809999999999998
48,0.452381,0.559524,0.10714300000000004
49,0.321429,0.357143,0.03571399999999997
50,0.22619,0.357143,0.13095299999999999
51,0.464286,0.238095,-0.22619099999999998
52,0.380952,0.333333,-0.04761900000000002
53,0.440476,0.464286,0.023809999999999998
54,0.321429,0.345238,0.02380899999999997
55,0.5,0.107143,-0.392857
56,0.357143,0.488095,0.130952
