ratio_id,ratio_percent,backflow_count,run_name,material_dir,reuse_existing,temperature,val_cal_count,val_op_count,accuracy,macro_f1,auroc,auprc,ece,brier,spec_at_r995,spec_at_r990,prec_at_r990,ptr_at_r990,threshold_at_r995,threshold_at_r990,default_threshold
hn00,0,0,yolo11l_gate2_train7200,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\research\materials\yolo11l_gate2_train7200,1,2.24551257,216,504,0.938492,0.881829,0.949688,0.988601,0.032582,0.05561,0.440476,0.535714,0.914286,0.902778,0.165357,0.266939,0.5
hn02,2,22,yolo11l_gate2_train7200_hn02,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\research\materials\stage1_gate_hn_ratio_sweep\hn02,0,2.07765246,216,504,0.924603,0.862977,0.939739,0.985831,0.029807,0.059893,0.511905,0.547619,0.916484,0.902778,0.287883,0.310428,0.5
hn04,4,43,yolo11l_gate2_train7200_hn04,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\research\materials\stage1_gate_hn_ratio_sweep\hn04,0,1.38327813,216,504,0.916667,0.840737,0.90085,0.971164,0.03813,0.069747,0.428571,0.452381,0.900433,0.916667,0.190267,0.240479,0.5
hn06,6,65,yolo11l_gate2_train7200_hn06,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\research\materials\stage1_gate_hn_ratio_sweep\hn06,0,2.41476758,216,504,0.936508,0.876045,0.935502,0.984206,0.044748,0.062155,0.392857,0.488095,0.906318,0.910714,0.241304,0.357342,0.5
hn08,8,86,yolo11l_gate2_train7200_hn08,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\research\materials\stage1_gate_hn_ratio_sweep\hn08,0,1.13940183,216,504,0.924603,0.855905,0.928798,0.982791,0.031427,0.063843,0.345238,0.488095,0.906318,0.910714,0.159275,0.228621,0.5
hn10,10,108,yolo11l_gate2_train7200_hn10,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\research\materials\stage1_gate_hn_ratio_sweep\hn10,0,2.33963501,216,504,0.922619,0.846427,0.924405,0.982399,0.029106,0.066853,0.25,0.511905,0.910284,0.906746,0.132075,0.331711,0.5
hn12,12,130,yolo11l_gate2_train7200_hn12,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\research\materials\stage1_gate_hn_ratio_sweep\hn12,0,2.06423287,216,504,0.914683,0.832528,0.918764,0.980471,0.027492,0.068957,0.416667,0.488095,0.906318,0.910714,0.269684,0.319535,0.5
hn14,14,151,yolo11l_gate2_train7200_hn14,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\research\materials\stage1_gate_hn_ratio_sweep\hn14,0,1.05326118,216,504,0.938492,0.881829,0.934609,0.982625,0.033683,0.057158,0.321429,0.547619,0.9163,0.900794,0.151049,0.293388,0.5
hn16,16,173,yolo11l_gate2_train7200_hn16,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\research\materials\stage1_gate_hn_ratio_sweep\hn16,0,1.09548594,216,504,0.906746,0.8107,0.919473,0.980637,0.038282,0.068339,0.297619,0.47619,0.904348,0.912698,0.193845,0.325466,0.5
hn18,18,194,yolo11l_gate2_train7200_hn18,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\research\materials\stage1_gate_hn_ratio_sweep\hn18,0,1.6510787,216,504,0.922619,0.851333,0.934977,0.983763,0.027114,0.065011,0.357143,0.369048,0.887234,0.93254,0.169781,0.173377,0.5
hn20,20,216,yolo11l_gate2_train7200_hn20,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\research\materials\stage1_gate_hn_ratio_sweep\hn20,0,2.35864762,216,504,0.922619,0.849742,0.932143,0.985066,0.036284,0.066976,0.27381,0.369048,0.886994,0.930556,0.124109,0.191674,0.5
